Date,Open,High,Low,Close,Volume
17-May-13,36.75,37.33,34.40,37.11,16959640
16-May-13,39.39,40.26,39.35,39.78,4498387
15-May-13,39.32,39.78,39.18,39.43,2463076
14-May-13,39.03,39.63,38.85,39.42,2169354
13-May-13,39.64,39.64,38.68,38.90,2895194
10-May-13,39.81,39.94,39.41,39.75,2608847
9-May-13,39.95,40.22,39.56,39.75,2664393
8-May-13,39.34,40.03,39.28,39.98,1722613
7-May-13,39.66,40.02,39.16,39.54,1471904
6-May-13,39.39,39.68,39.19,39.60,1909516
3-May-13,39.00,39.53,38.78,39.52,2016189
2-May-13,38.17,38.76,37.92,38.53,1323927
1-May-13,39.23,39.69,38.04,38.19,2902358
30-Apr-13,38.24,39.38,38.14,39.38,5426160
29-Apr-13,37.36,38.24,37.25,38.21,1669508
26-Apr-13,37.93,38.11,37.30,37.31,1862567
25-Apr-13,37.50,38.14,37.31,37.87,2025263
24-Apr-13,37.11,37.72,36.82,37.56,2132710
23-Apr-13,36.49,37.26,36.39,37.26,2626182
22-Apr-13,36.16,36.41,35.62,36.24,1681552
19-Apr-13,35.91,36.45,35.51,36.12,1835314
18-Apr-13,36.90,37.02,35.92,35.93,2129509
17-Apr-13,37.33,37.43,36.38,36.82,2699802
16-Apr-13,37.14,37.80,37.01,37.69,2136575
15-Apr-13,38.11,38.21,36.56,36.71,4335798
12-Apr-13,38.95,38.95,38.01,38.36,2174564
11-Apr-13,39.49,39.52,38.92,39.01,2320860
10-Apr-13,38.47,39.87,38.46,39.64,1988711
9-Apr-13,38.37,38.63,38.03,38.46,1421275
8-Apr-13,38.44,38.44,37.92,38.35,1808259
5-Apr-13,37.87,38.40,37.27,38.35,2559522
4-Apr-13,38.53,38.68,38.04,38.48,2636361
3-Apr-13,39.55,39.76,38.44,38.54,2713511
2-Apr-13,39.97,40.65,39.36,39.57,2568753
1-Apr-13,40.09,40.68,39.76,39.93,4038013
28-Mar-13,40.62,41.30,40.43,41.25,1784727
27-Mar-13,40.46,40.96,40.29,40.92,1348496
26-Mar-13,40.61,40.99,40.42,40.60,1553797
25-Mar-13,41.00,41.21,40.26,40.38,2239187
22-Mar-13,41.04,41.40,40.78,41.39,1741490
21-Mar-13,40.60,41.26,40.25,41.03,2049129
20-Mar-13,40.53,41.42,40.26,41.16,3845321
19-Mar-13,40.05,40.38,39.32,39.67,3069635
18-Mar-13,39.76,40.31,39.34,40.03,1787165
