Date,Open,High,Low,Close,Volume
17-May-13,13.41,13.45,13.38,13.40,16125373
16-May-13,13.44,13.45,13.41,13.43,13513877
15-May-13,13.44,13.49,13.42,13.45,12361180
14-May-13,13.48,13.51,13.40,13.47,33785768
13-May-13,13.44,13.52,13.40,13.52,33488858
10-May-13,13.38,13.51,13.37,13.45,91707327
9-May-13,13.23,13.32,13.19,13.32,13340153
8-May-13,13.28,13.29,13.20,13.23,13694524
7-May-13,13.30,13.33,13.23,13.26,16472805
6-May-13,13.33,13.36,13.27,13.29,8321831
3-May-13,13.32,13.33,13.25,13.31,15270098
2-May-13,13.33,13.38,13.31,13.33,10591358
1-May-13,13.37,13.38,13.31,13.33,14786024
30-Apr-13,13.36,13.40,13.33,13.40,10214467
29-Apr-13,13.39,13.40,13.33,13.34,8566123
26-Apr-13,13.33,13.39,13.33,13.35,14577808
25-Apr-13,13.30,13.38,13.28,13.34,17668282
24-Apr-13,13.12,13.31,13.11,13.30,49639147
23-Apr-13,13.27,13.29,13.07,13.08,51413662
22-Apr-13,13.40,13.42,13.20,13.24,55579579
19-Apr-13,13.45,13.51,13.38,13.40,94263881
18-Apr-13,13.95,14.08,13.94,13.95,14684633
17-Apr-13,14.02,14.05,13.94,13.97,15239130
16-Apr-13,14.09,14.14,14.03,14.04,9527396
15-Apr-13,14.02,14.14,14.01,14.04,10952546
12-Apr-13,14.09,14.10,13.92,14.09,17694462
11-Apr-13,14.19,14.19,14.03,14.04,18196464
10-Apr-13,14.22,14.27,14.20,14.21,17149037
9-Apr-13,14.20,14.25,14.18,14.19,12849557
8-Apr-13,14.19,14.22,14.17,14.20,7935876
5-Apr-13,14.19,14.25,14.16,14.22,18444597
4-Apr-13,14.23,14.30,14.22,14.26,13099968
3-Apr-13,14.26,14.30,14.21,14.23,15714130
2-Apr-13,14.30,14.31,14.19,14.26,22123093
1-Apr-13,14.21,14.31,14.19,14.30,16083948
28-Mar-13,14.30,14.38,14.25,14.33,22144803
27-Mar-13,14.36,14.43,14.31,14.34,18949792
26-Mar-13,14.51,14.58,14.41,14.50,22611621
25-Mar-13,14.59,14.64,14.50,14.51,53927865
22-Mar-13,14.18,14.19,14.06,14.14,21533172
21-Mar-13,14.37,14.40,14.07,14.14,37094868
20-Mar-13,14.33,14.38,14.27,14.33,9845638
19-Mar-13,14.29,14.35,14.20,14.31,15798023
18-Mar-13,14.13,14.22,14.08,14.17,17736131
15-Mar-13,14.19,14.48,14.09,14.31,39732765
14-Mar-13,14.28,14.29,14.20,14.26,10807444
13-Mar-13,14.33,14.38,14.28,14.30,10877133
12-Mar-13,14.31,14.34,14.22,14.32,15365756
11-Mar-13,14.28,14.41,14.22,14.37,28055051
8-Mar-13,14.29,14.34,14.13,14.16,18434178
7-Mar-13,14.32,14.35,14.17,14.22,32960186
6-Mar-13,14.02,14.51,13.95,14.32,59814708
5-Mar-13,14.01,14.10,14.00,14.07,14310654
4-Mar-13,13.97,14.03,13.95,14.00,29942894
1-Mar-13,13.91,14.01,13.89,14.00,13017228
28-Feb-13,13.90,13.97,13.89,13.95,17857462
27-Feb-13,13.86,13.96,13.84,13.92,16649589
26-Feb-13,13.85,13.99,13.81,13.88,23555752
25-Feb-13,13.88,13.90,13.82,13.85,16050574
22-Feb-13,13.84,14.10,13.80,13.92,20966767
21-Feb-13,13.77,13.85,13.75,13.82,18371268
20-Feb-13,13.77,13.89,13.75,13.83,27596600
19-Feb-13,13.78,13.84,13.65,13.80,24267825
15-Feb-13,13.70,13.83,13.68,13.81,20542699
14-Feb-13,13.81,13.86,13.66,13.71,27573443
13-Feb-13,13.77,13.97,13.73,13.77,36864308
12-Feb-13,13.77,13.84,13.67,13.79,33467125
11-Feb-13,13.60,13.71,13.51,13.70,39497675
8-Feb-13,13.51,13.67,13.45,13.63,56969663
7-Feb-13,13.49,13.55,13.44,13.53,56041710
6-Feb-13,13.41,13.56,13.39,13.52,77677259
5-Feb-13,13.36,13.47,13.33,13.42,286686322
4-Feb-13,13.59,13.59,13.04,13.27,43776389
1-Feb-13,14.02,14.17,13.50,13.63,57532218
31-Jan-13,13.34,13.44,13.20,13.24,20675860
30-Jan-13,13.20,13.40,13.16,13.37,27463390
29-Jan-13,13.02,13.48,12.80,13.25,78591264
28-Jan-13,13.10,13.15,13.00,13.04,23546324
25-Jan-13,13.11,13.29,13.05,13.16,34918933
24-Jan-13,13.10,13.16,12.93,13.00,27358512
23-Jan-13,13.19,13.20,13.00,13.08,27408054
22-Jan-13,12.86,13.60,12.83,13.12,64923780
18-Jan-13,12.85,12.98,12.75,12.84,52327609
17-Jan-13,12.65,12.93,12.65,12.82,44262346
16-Jan-13,12.72,12.80,12.50,12.61,76271600
15-Jan-13,12.72,13.24,12.42,13.17,154812750
14-Jan-13,10.89,12.83,10.77,12.29,115643644
11-Jan-13,11.00,11.02,10.76,10.88,18169242
10-Jan-13,11.05,11.15,10.85,11.04,19985990
9-Jan-13,10.90,10.99,10.80,10.93,16091917
8-Jan-13,11.07,11.09,10.71,10.77,17512356
7-Jan-13,10.91,11.09,10.84,11.06,25789228
4-Jan-13,10.93,11.07,10.81,10.97,18706365
3-Jan-13,10.62,11.33,10.59,10.94,38133927
2-Jan-13,10.32,10.70,10.30,10.68,26421697
31-Dec-12,9.93,10.23,9.90,10.14,22122377
28-Dec-12,10.06,10.12,9.95,9.97,14396730
27-Dec-12,10.29,10.30,10.10,10.19,13328824
26-Dec-12,10.29,10.43,10.25,10.28,9300558
24-Dec-12,10.40,10.47,10.20,10.24,5948668
21-Dec-12,10.35,10.43,10.19,10.43,22982949
20-Dec-12,10.49,10.55,10.41,10.50,11980902
19-Dec-12,10.56,10.57,10.47,10.49,11885862
18-Dec-12,10.30,10.62,10.29,10.56,19561222
17-Dec-12,10.45,10.48,10.18,10.26,20389985
14-Dec-12,10.48,10.55,10.32,10.43,18730955
13-Dec-12,10.59,10.75,10.43,10.53,16852983
12-Dec-12,10.75,10.76,10.52,10.57,15857467
11-Dec-12,10.69,10.84,10.55,10.67,24904623
10-Dec-12,10.46,10.72,10.42,10.63,20722835
7-Dec-12,10.54,10.60,10.34,10.46,16840747
6-Dec-12,10.35,10.55,10.29,10.49,25550893
5-Dec-12,10.31,10.58,10.28,10.37,31601168
4-Dec-12,10.18,10.37,10.12,10.31,39872618
3-Dec-12,10.39,10.49,10.01,10.06,61597729
30-Nov-12,9.78,9.80,9.59,9.64,23978625
29-Nov-12,9.75,9.88,9.66,9.72,20055034
28-Nov-12,9.73,9.73,9.49,9.71,23051343
27-Nov-12,9.85,9.97,9.75,9.77,20214273
26-Nov-12,9.49,9.97,9.39,9.94,26129149
23-Nov-12,9.14,9.58,9.10,9.55,14894038
21-Nov-12,9.00,9.09,8.92,9.06,25367783
20-Nov-12,9.03,9.11,8.88,8.98,17875710
19-Nov-12,8.95,9.15,8.79,9.13,29800460
16-Nov-12,9.33,9.35,8.69,8.86,71431173
15-Nov-12,9.59,9.70,9.40,9.56,35666333
14-Nov-12,9.42,9.70,9.41,9.58,39372155
13-Nov-12,9.27,9.48,9.21,9.40,34676023
12-Nov-12,9.42,9.45,9.16,9.34,19531869
9-Nov-12,9.41,9.55,9.35,9.41,24418276
8-Nov-12,9.19,9.51,9.15,9.45,31442782
7-Nov-12,9.47,9.47,9.15,9.18,20808516
6-Nov-12,9.37,9.61,9.34,9.53,17598345
5-Nov-12,9.12,9.38,9.12,9.35,12742323
2-Nov-12,9.33,9.36,9.11,9.15,17234153
1-Nov-12,9.26,9.38,9.22,9.32,15544765
