Date,Open,High,Low,Close,Volume
17-May-13,24.08,24.24,23.98,24.24,24920171
16-May-13,23.50,24.16,23.40,24.06,48618581
15-May-13,22.97,23.04,22.69,23.02,19361141
14-May-13,23.11,23.18,22.93,23.00,33797585
13-May-13,23.26,23.37,23.01,23.04,16873796
10-May-13,22.87,23.45,22.87,23.34,22965592
9-May-13,23.23,23.39,22.83,22.90,24924489
8-May-13,23.14,23.46,23.02,23.45,16368839
7-May-13,23.40,23.44,23.11,23.12,15950636
6-May-13,23.34,23.52,23.15,23.29,17974701
3-May-13,23.09,23.62,23.05,23.38,26648185
2-May-13,22.42,22.93,22.39,22.88,19644456
1-May-13,22.39,22.63,22.10,22.46,21944038
30-Apr-13,22.44,22.56,22.27,22.43,25487619
29-Apr-13,22.51,22.66,22.42,22.49,20214481
26-Apr-13,22.61,22.70,22.25,22.39,23042921
25-Apr-13,22.51,22.81,22.40,22.63,16617529
24-Apr-13,22.17,22.76,21.98,22.52,28934333
23-Apr-13,22.00,22.46,21.95,22.36,25433835
22-Apr-13,21.56,22.00,21.51,21.85,21588427
19-Apr-13,22.23,22.28,21.45,21.50,54962977
18-Apr-13,22.76,22.81,22.27,22.34,22371362
17-Apr-13,23.05,23.20,22.67,22.71,24487685
16-Apr-13,22.92,23.10,22.71,23.08,22022685
15-Apr-13,23.03,23.40,22.78,22.78,20979860
12-Apr-13,22.85,23.28,22.66,23.11,26920544
11-Apr-13,23.29,23.31,22.79,22.89,33338139
10-Apr-13,22.90,23.37,22.62,23.23,38956118
9-Apr-13,23.12,23.24,22.79,23.14,33031452
8-Apr-13,23.07,23.20,22.98,23.13,10880976
5-Apr-13,23.14,23.16,22.83,23.08,17802119
4-Apr-13,23.63,23.68,23.35,23.45,17340528
3-Apr-13,23.87,23.92,23.50,23.59,15364510
2-Apr-13,23.65,23.85,23.60,23.84,13696113
1-Apr-13,23.86,23.86,23.53,23.57,10285697
28-Mar-13,23.80,23.95,23.68,23.89,14131287
27-Mar-13,23.66,24.08,23.65,23.83,16031859
26-Mar-13,23.86,23.97,23.62,23.75,14913853
25-Mar-13,24.33,24.40,23.67,23.74,18404526
22-Mar-13,24.48,24.52,24.05,24.15,19135113
21-Mar-13,24.67,24.75,24.38,24.50,17672765
20-Mar-13,24.88,24.99,24.78,24.85,14680868
19-Mar-13,25.14,25.17,24.58,24.70,27542370
18-Mar-13,25.05,25.39,24.95,25.05,17750990
15-Mar-13,25.49,25.60,25.19,25.35,40749867
14-Mar-13,25.23,25.65,25.16,25.62,31491469
13-Mar-13,24.47,25.30,24.40,24.90,37319262
12-Mar-13,24.52,24.55,24.16,24.47,23291291
11-Mar-13,24.39,24.70,24.13,24.56,24351264
8-Mar-13,24.11,24.41,23.84,24.30,24194804
7-Mar-13,24.31,24.41,23.87,23.95,30290181
6-Mar-13,23.93,24.32,23.77,24.30,26762552
5-Mar-13,23.29,23.76,23.29,23.74,20225838
4-Mar-13,23.15,23.26,23.05,23.22,14431405
1-Mar-13,22.97,23.32,22.75,23.25,16505529
28-Feb-13,23.21,23.46,22.99,23.01,22131570
27-Feb-13,22.90,23.38,22.87,23.28,18899039
26-Feb-13,22.86,23.11,22.78,22.94,18461602
25-Feb-13,23.63,23.70,22.83,22.83,23789634
22-Feb-13,23.56,23.62,23.31,23.44,13846553
21-Feb-13,23.43,23.50,23.14,23.41,25665233
20-Feb-13,23.92,24.02,23.50,23.50,23603496
19-Feb-13,24.06,24.20,23.91,23.92,23509631
15-Feb-13,24.05,24.10,23.93,24.00,18801818
14-Feb-13,24.05,24.32,23.97,24.04,18308589
13-Feb-13,24.39,24.62,24.10,24.22,20456746
12-Feb-13,24.63,24.74,24.45,24.54,12538348
11-Feb-13,24.81,24.86,24.57,24.63,10747828
8-Feb-13,24.80,24.92,24.66,24.88,14794566
7-Feb-13,24.79,24.85,24.54,24.75,18291446
6-Feb-13,24.64,25.00,24.59,24.79,24334203
5-Feb-13,24.75,25.02,24.71,24.88,23987145
4-Feb-13,24.73,24.85,24.57,24.59,24867580
1-Feb-13,24.79,24.95,24.67,24.85,21396668
31-Jan-13,24.72,24.97,24.52,24.61,27313061
30-Jan-13,24.47,24.85,24.38,24.60,43177015
29-Jan-13,23.65,24.39,23.11,24.18,133491105
28-Jan-13,25.18,25.39,24.88,25.20,21629051
25-Jan-13,25.18,25.36,25.00,25.26,17051635
24-Jan-13,24.57,25.27,24.57,25.04,25959747
23-Jan-13,24.55,24.74,24.42,24.53,19556451
22-Jan-13,24.31,24.46,24.03,24.28,23484760
18-Jan-13,23.98,24.35,23.89,24.33,24185600
17-Jan-13,24.29,24.29,23.87,24.03,30196544
16-Jan-13,24.30,24.46,24.04,24.08,21351009
15-Jan-13,24.23,24.40,23.95,24.32,19539705
14-Jan-13,23.90,24.29,23.84,24.21,22768707
11-Jan-13,23.94,24.22,23.73,24.15,26172189
10-Jan-13,23.98,24.26,23.59,23.85,37081536
9-Jan-13,23.95,24.14,23.92,24.02,19096129
8-Jan-13,23.77,24.00,23.58,23.87,36370106
7-Jan-13,24.31,24.40,24.10,24.13,20874154
4-Jan-13,24.44,24.45,23.95,24.33,31813289
3-Jan-13,24.68,24.80,24.23,24.37,38391051
2-Jan-13,25.51,25.75,24.59,24.84,42573411
31-Dec-12,24.80,25.45,24.74,25.30,13254142
28-Dec-12,25.06,25.20,24.80,24.83,10798602
27-Dec-12,25.33,25.46,24.92,25.29,13016620
26-Dec-12,25.60,25.65,25.18,25.33,7984080
24-Dec-12,25.51,25.67,25.38,25.62,4306564
21-Dec-12,25.57,25.65,25.25,25.62,19986062
20-Dec-12,26.05,26.07,25.66,25.91,18845996
19-Dec-12,26.16,26.20,25.91,25.91,17026792
18-Dec-12,25.28,25.92,25.28,25.86,24752302
17-Dec-12,24.77,25.29,24.67,25.27,17597307
14-Dec-12,24.64,24.77,24.51,24.72,12523775
13-Dec-12,24.69,24.78,24.45,24.72,25504077
12-Dec-12,24.94,25.17,24.63,24.67,28462024
11-Dec-12,25.12,25.52,25.01,25.32,17958097
10-Dec-12,24.90,25.06,24.83,25.02,16868768
7-Dec-12,25.22,25.28,24.83,24.91,15219776
6-Dec-12,25.02,25.25,24.93,25.18,19569750
5-Dec-12,24.87,25.22,24.66,25.15,16075106
4-Dec-12,24.69,25.04,24.60,24.92,15400839
3-Dec-12,24.90,25.15,24.71,24.76,15704012
30-Nov-12,25.02,25.13,24.55,24.82,16699451
29-Nov-12,24.98,25.25,24.97,25.03,19165277
28-Nov-12,24.41,24.87,24.25,24.86,15302138
27-Nov-12,24.71,24.89,24.51,24.57,16843124
26-Nov-12,24.74,24.74,24.47,24.67,11927839
23-Nov-12,24.55,24.83,24.51,24.81,6045882
21-Nov-12,24.32,24.60,24.25,24.35,11810294
20-Nov-12,24.36,24.36,24.00,24.22,12372560
19-Nov-12,23.98,24.38,23.95,24.34,15220998
16-Nov-12,23.58,23.73,23.23,23.56,19695924
15-Nov-12,23.75,23.88,23.36,23.56,23118832
14-Nov-12,24.19,24.25,23.29,23.40,28138458
13-Nov-12,23.99,24.24,23.88,23.91,15657154
12-Nov-12,24.27,24.37,24.00,24.10,12843771
9-Nov-12,24.10,24.48,24.02,24.22,17172471
8-Nov-12,24.44,24.72,24.15,24.17,15187405
7-Nov-12,24.91,25.17,24.38,24.54,21609052
6-Nov-12,25.11,25.42,24.77,25.33,13414427
5-Nov-12,24.96,25.10,24.73,24.88,12903913
2-Nov-12,25.41,25.49,24.92,24.98,19815701
1-Nov-12,24.50,25.28,24.28,25.21,26422686
31-Oct-12,24.11,24.55,24.02,24.42,32623708
26-Oct-12,24.16,24.36,23.78,23.91,22647142
25-Oct-12,24.83,24.86,23.98,24.14,26693848
24-Oct-12,24.14,25.51,23.76,24.46,75598716
23-Oct-12,24.75,24.86,24.50,24.68,17980874
22-Oct-12,24.76,25.09,24.60,25.04,21270046
19-Oct-12,24.99,25.16,24.36,24.58,29704888
18-Oct-12,25.61,25.69,24.98,25.00,29594685
17-Oct-12,25.80,25.96,25.39,25.60,23257882
16-Oct-12,25.92,26.42,25.84,26.31,14225159
15-Oct-12,25.83,25.87,25.44,25.73,15266344
12-Oct-12,25.73,26.00,25.46,25.64,12219096
11-Oct-12,26.07,26.25,25.60,25.68,12364985
10-Oct-12,26.14,26.22,25.70,25.84,14972113
9-Oct-12,27.05,27.15,26.05,26.14,23894055
8-Oct-12,27.13,27.44,27.03,27.13,12294134
5-Oct-12,27.28,27.59,26.93,27.29,18269048
4-Oct-12,27.03,27.23,26.74,27.19,20468914
3-Oct-12,27.28,27.38,26.91,27.04,11165428
2-Oct-12,27.40,27.43,26.97,27.24,11037267
1-Oct-12,27.35,27.89,27.14,27.26,15125121
28-Sep-12,27.56,27.62,27.04,27.27,15040872
27-Sep-12,26.84,27.58,26.81,27.52,15283141
26-Sep-12,27.14,27.17,26.57,26.75,16996145
25-Sep-12,27.79,27.90,27.10,27.17,11896568
24-Sep-12,27.78,27.85,27.50,27.76,11590964
21-Sep-12,27.81,28.18,27.66,28.02,21188576
20-Sep-12,27.56,27.76,27.33,27.52,15606940
19-Sep-12,27.61,27.88,27.52,27.73,13847302
18-Sep-12,27.57,27.97,27.56,27.67,23955084
17-Sep-12,27.86,27.90,27.50,27.58,13905798
14-Sep-12,27.49,28.07,27.49,27.86,23324518
13-Sep-12,27.32,27.75,27.19,27.52,18076459
12-Sep-12,27.33,27.69,27.26,27.31,13955307
11-Sep-12,27.45,27.68,27.29,27.32,13873641
10-Sep-12,27.61,27.93,27.37,27.38,12349359
7-Sep-12,27.30,27.76,27.25,27.70,16368967
6-Sep-12,26.60,27.52,26.60,27.51,22897767
5-Sep-12,26.28,26.53,26.03,26.41,11518820
4-Sep-12,26.19,26.53,25.97,26.35,11292872
31-Aug-12,26.47,26.58,26.04,26.29,14583849
30-Aug-12,26.69,26.74,26.25,26.27,16484346
29-Aug-12,26.54,26.96,26.35,26.89,16451447
28-Aug-12,26.35,26.63,26.12,26.43,17793046
27-Aug-12,26.69,26.77,26.30,26.41,15534720
24-Aug-12,25.93,26.70,25.85,26.68,18075613
23-Aug-12,26.22,26.31,25.92,25.98,9660588
22-Aug-12,26.16,26.44,26.00,26.35,11349292
21-Aug-12,26.65,26.80,26.05,26.14,13084534
20-Aug-12,26.72,26.78,26.40,26.58,11512577
17-Aug-12,26.50,26.91,26.45,26.85,19582095
16-Aug-12,26.16,26.38,26.00,26.26,29099151
15-Aug-12,25.79,25.92,25.44,25.44,20423906
14-Aug-12,26.74,26.74,25.59,25.71,24131464
13-Aug-12,26.85,26.87,26.44,26.74,7765539
10-Aug-12,26.87,27.01,26.72,26.99,11498453
9-Aug-12,26.86,27.08,26.80,27.01,11477720
8-Aug-12,26.78,26.94,26.65,26.80,9754885
7-Aug-12,26.65,27.09,26.62,26.93,13391451
6-Aug-12,26.75,26.88,26.61,26.62,11826698
3-Aug-12,26.64,26.92,26.46,26.80,15017752
2-Aug-12,26.04,26.50,25.82,26.08,11862412
1-Aug-12,26.46,26.14,26.14,26.14,297376
31-Jul-12,26.14,26.49,26.14,26.21,13955218
30-Jul-12,26.30,26.60,25.96,26.31,15440988
27-Jul-12,25.47,26.67,25.41,26.55,20591663
26-Jul-12,25.60,26.14,25.37,25.76,16218734
25-Jul-12,25.19,25.47,25.00,25.16,12615827
24-Jul-12,24.61,25.60,24.48,25.34,29766660
23-Jul-12,24.50,24.93,24.28,24.80,16447548
20-Jul-12,25.23,25.43,25.02,25.05,12376976
19-Jul-12,25.33,25.69,25.09,25.46,24188411
18-Jul-12,24.56,25.40,24.51,25.08,35679559
17-Jul-12,23.35,23.50,22.79,22.92,28692215
16-Jul-12,23.67,23.74,23.22,23.29,15093858
13-Jul-12,23.35,23.74,23.25,23.65,11190942
12-Jul-12,23.38,23.49,22.85,23.32,18557582
11-Jul-12,23.63,23.99,23.36,23.55,21024719
10-Jul-12,23.80,24.24,23.40,23.56,16439144
9-Jul-12,23.98,24.04,23.59,23.69,18521684
6-Jul-12,24.36,24.60,23.62,24.07,25445718
5-Jul-12,25.52,25.58,25.10,25.24,10870800
3-Jul-12,25.31,25.65,25.19,25.63,8660914
2-Jul-12,25.52,25.63,25.12,25.23,14765901
29-Jun-12,24.43,25.65,24.41,25.63,29073418
28-Jun-12,24.19,24.26,23.45,23.71,16683939
27-Jun-12,23.85,24.30,23.75,24.20,11702498
26-Jun-12,23.85,24.14,23.69,23.95,18806983
25-Jun-12,24.43,24.45,23.62,23.81,17125220
22-Jun-12,24.38,24.79,24.16,24.71,16645856
21-Jun-12,25.36,25.43,24.09,24.18,25266662
20-Jun-12,25.40,25.45,24.98,25.35,17908511
19-Jun-12,24.96,25.55,24.86,25.46,23799531
18-Jun-12,24.51,25.29,24.30,24.68,30867185
15-Jun-12,24.15,25.00,24.07,24.70,31722497
14-Jun-12,24.30,24.34,23.68,23.98,24937297
13-Jun-12,24.51,24.54,24.15,24.30,11987343
12-Jun-12,24.39,24.58,23.94,24.55,19969159
11-Jun-12,25.00,25.00,24.31,24.34,15887512
8-Jun-12,24.61,24.78,24.33,24.64,18363280
7-Jun-12,24.68,24.79,24.34,24.58,24584111
6-Jun-12,23.67,24.39,23.57,24.38,20600231
5-Jun-12,22.82,23.47,22.80,23.38,20977686
4-Jun-12,23.21,23.45,22.77,22.85,27797787
1-Jun-12,23.35,23.46,23.12,23.18,20595338
31-May-12,23.97,24.00,23.53,23.85,20790794
30-May-12,24.02,24.15,23.87,24.03,20916469
29-May-12,24.41,24.63,24.13,24.22,26960640
25-May-12,24.21,24.64,24.19,24.24,28491814
24-May-12,25.29,25.38,23.94,24.23,72932889
23-May-12,25.19,25.54,24.79,25.46,27798566
22-May-12,26.07,26.07,25.44,25.59,21049827
21-May-12,25.12,25.79,24.89,25.75,16274989
