Date,Open,High,Low,Close,Volume
17-May-13,49.31,50.68,49.31,50.46,983651
16-May-13,49.71,50.49,49.37,49.43,1086654
15-May-13,49.27,49.84,49.16,49.82,697381
14-May-13,48.87,49.69,48.87,49.29,987895
13-May-13,49.04,49.37,48.58,48.99,883908
10-May-13,48.57,48.98,48.32,48.79,716755
9-May-13,48.26,48.96,48.11,48.52,963717
8-May-13,47.06,48.45,47.01,48.29,963009
7-May-13,46.68,47.31,46.49,47.20,644745
6-May-13,46.42,46.78,46.18,46.60,603016
3-May-13,46.39,46.65,46.26,46.47,690140
2-May-13,45.41,46.07,45.30,45.90,900586
1-May-13,45.92,45.92,45.20,45.22,983927
30-Apr-13,44.99,46.51,43.95,46.20,1602693
29-Apr-13,44.18,44.62,43.95,44.59,804952
26-Apr-13,44.18,44.30,43.72,43.93,872679
25-Apr-13,43.78,44.33,43.64,44.26,842208
24-Apr-13,43.12,43.76,42.92,43.58,792022
23-Apr-13,42.99,43.22,42.72,43.10,1235246
22-Apr-13,42.04,43.04,41.80,42.74,1221120
19-Apr-13,41.75,42.08,41.62,41.98,933018
18-Apr-13,41.63,41.83,41.08,41.66,1269203
17-Apr-13,42.21,42.45,41.29,41.71,1755082
16-Apr-13,42.97,43.10,42.15,42.36,1827837
15-Apr-13,43.78,43.93,42.56,42.80,2147016
12-Apr-13,44.80,45.75,43.85,44.06,2523086
11-Apr-13,45.68,46.58,45.56,46.56,1026533
10-Apr-13,45.15,45.84,45.08,45.81,705696
9-Apr-13,44.67,45.38,44.48,44.95,802474
8-Apr-13,44.62,44.74,44.33,44.74,508681
5-Apr-13,44.76,44.88,44.37,44.52,616287
4-Apr-13,45.64,45.78,45.10,45.27,597366
3-Apr-13,46.32,46.66,45.59,45.80,774738
2-Apr-13,46.36,46.50,45.93,46.25,778169
1-Apr-13,46.29,46.29,45.75,46.04,1050284
28-Mar-13,45.35,46.58,45.01,46.34,1314906
27-Mar-13,44.66,45.38,44.32,45.29,851265
26-Mar-13,44.82,45.04,44.67,44.90,925337
25-Mar-13,44.05,44.71,44.03,44.63,1092381
22-Mar-13,44.26,44.31,43.70,43.99,952226
21-Mar-13,44.58,44.91,44.13,44.13,970148
20-Mar-13,44.89,45.16,44.70,44.98,763441
19-Mar-13,44.47,46.11,44.11,44.61,1141419
18-Mar-13,43.92,44.60,43.75,44.30,811491
15-Mar-13,44.74,44.93,44.22,44.36,1581432
14-Mar-13,45.44,45.50,44.77,44.89,854291
13-Mar-13,44.94,45.42,44.66,45.26,878616
12-Mar-13,44.80,44.95,44.47,44.93,1218620
11-Mar-13,45.38,45.45,44.59,44.82,1315876
8-Mar-13,45.94,46.00,45.08,45.42,1025981
7-Mar-13,45.75,46.23,45.48,45.74,786382
6-Mar-13,46.79,46.80,45.39,45.73,1754181
5-Mar-13,47.33,47.51,47.02,47.23,620834
4-Mar-13,47.51,47.73,47.05,47.33,490730
1-Mar-13,47.85,48.17,47.33,47.71,684098
28-Feb-13,47.92,48.44,47.92,48.07,816172
27-Feb-13,47.34,48.49,47.34,48.06,924441
26-Feb-13,47.09,47.46,46.90,47.31,775554
25-Feb-13,48.26,48.37,47.10,47.10,978969
22-Feb-13,47.13,48.20,47.13,47.98,858359
21-Feb-13,47.21,47.21,46.68,47.00,878315
20-Feb-13,47.18,47.88,47.18,47.46,847755
19-Feb-13,47.57,48.06,47.30,47.65,971742
15-Feb-13,47.94,47.97,47.45,47.61,900043
14-Feb-13,46.96,47.87,46.87,47.74,932812
13-Feb-13,46.84,47.18,46.63,47.10,638905
12-Feb-13,46.59,46.89,46.37,46.75,661855
11-Feb-13,46.53,46.86,46.27,46.54,813015
8-Feb-13,46.69,47.02,46.50,46.62,811828
7-Feb-13,46.56,46.88,46.21,46.53,879865
6-Feb-13,46.10,46.70,45.97,46.50,647921
5-Feb-13,45.82,46.39,45.73,46.31,730105
4-Feb-13,46.01,46.25,45.66,45.68,746754
1-Feb-13,46.04,46.50,45.61,46.28,1387856
31-Jan-13,46.86,47.05,46.15,46.20,1317012
30-Jan-13,46.78,47.49,46.72,46.90,984518
29-Jan-13,48.82,48.84,46.72,47.09,1680110
28-Jan-13,49.72,49.72,49.11,49.25,686134
25-Jan-13,49.50,49.64,49.19,49.49,812477
24-Jan-13,49.59,49.85,49.24,49.48,764508
23-Jan-13,49.95,50.06,49.42,49.55,543212
22-Jan-13,50.03,50.13,49.48,49.85,619205
18-Jan-13,49.75,50.09,49.05,49.94,860720
17-Jan-13,49.86,50.02,49.66,49.73,627870
16-Jan-13,49.56,49.62,49.31,49.49,365694
15-Jan-13,48.95,49.70,48.90,49.65,634785
14-Jan-13,49.67,49.67,48.87,49.19,616063
11-Jan-13,50.29,50.29,49.71,49.75,596384
10-Jan-13,50.28,50.53,49.81,50.04,495923
9-Jan-13,49.12,50.01,49.05,50.00,1138912
8-Jan-13,49.37,49.52,48.83,48.91,858338
7-Jan-13,49.59,50.21,49.34,50.07,764519
4-Jan-13,49.58,50.24,49.25,49.88,710995
3-Jan-13,50.21,50.46,49.42,49.44,774112
2-Jan-13,49.87,50.45,49.84,50.21,979327
31-Dec-12,48.25,48.98,48.11,48.96,526764
28-Dec-12,48.83,48.91,48.30,48.31,438328
27-Dec-12,49.40,49.48,48.50,49.12,465822
26-Dec-12,49.51,49.89,49.11,49.39,478651
24-Dec-12,49.35,49.69,49.28,49.54,278500
21-Dec-12,49.37,50.04,49.36,49.67,1166074
20-Dec-12,50.00,50.20,49.69,49.90,1169344
19-Dec-12,49.71,50.35,49.48,50.10,1259665
18-Dec-12,48.70,49.72,48.45,49.70,1030664
17-Dec-12,48.44,48.74,48.15,48.64,726992
14-Dec-12,48.51,48.60,48.09,48.17,648566
13-Dec-12,48.92,49.38,48.51,48.80,790576
12-Dec-12,49.50,49.74,48.95,49.06,1220518
11-Dec-12,49.01,49.59,48.97,49.31,763955
10-Dec-12,48.16,49.15,48.11,49.02,975192
7-Dec-12,48.05,48.52,47.82,48.49,629561
6-Dec-12,47.02,48.05,46.25,48.03,1130535
5-Dec-12,47.56,48.07,47.18,47.98,713509
4-Dec-12,46.47,47.69,46.40,47.61,958162
3-Dec-12,47.17,47.59,46.40,46.42,627601
30-Nov-12,47.30,47.47,46.86,47.13,634992
29-Nov-12,47.02,47.58,46.78,47.24,622200
28-Nov-12,46.50,47.05,46.17,47.00,586013
27-Nov-12,46.57,47.06,46.46,46.65,900252
26-Nov-12,46.82,47.06,46.50,46.57,648459
23-Nov-12,46.51,46.83,46.46,46.83,375434
21-Nov-12,46.38,46.42,46.09,46.26,773499
20-Nov-12,46.44,46.44,45.94,46.27,1252119
19-Nov-12,46.82,46.93,46.39,46.59,952010
16-Nov-12,46.30,46.55,45.74,46.42,1619800
15-Nov-12,46.91,47.20,46.03,46.30,1453990
14-Nov-12,48.20,48.34,46.69,46.86,1180779
13-Nov-12,47.72,48.44,47.55,47.94,1194232
12-Nov-12,48.46,49.04,47.79,48.14,537029
9-Nov-12,47.86,49.05,47.83,48.65,1037565
8-Nov-12,48.35,48.82,47.89,47.96,760224
7-Nov-12,48.93,48.93,48.02,48.25,1220015
6-Nov-12,48.45,49.47,48.23,49.25,929485
5-Nov-12,47.20,48.48,47.18,48.38,804747
2-Nov-12,47.96,48.00,47.01,47.46,695102
1-Nov-12,45.79,47.71,45.75,47.66,876928
31-Oct-12,46.74,46.87,45.73,45.78,1002787
26-Oct-12,47.17,47.32,46.97,47.14,970767
25-Oct-12,46.82,47.26,46.70,47.06,719771
24-Oct-12,46.49,46.83,45.94,46.65,1254912
23-Oct-12,45.87,46.38,45.62,46.17,851499
22-Oct-12,46.48,46.53,45.85,46.32,631307
19-Oct-12,46.90,46.94,46.12,46.33,785195
18-Oct-12,47.16,47.25,46.68,46.95,1132802
17-Oct-12,46.97,47.46,46.81,47.14,797202
16-Oct-12,46.79,47.14,46.73,46.96,1899831
15-Oct-12,47.84,48.30,46.54,46.86,3029614
12-Oct-12,50.74,50.74,48.69,48.84,1634916
11-Oct-12,51.35,51.57,50.78,50.85,418025
10-Oct-12,51.18,51.27,50.80,50.86,426438
9-Oct-12,51.65,51.94,50.97,51.10,645937
8-Oct-12,51.67,51.98,51.46,51.69,504392
5-Oct-12,51.48,52.23,51.27,51.97,1209640
4-Oct-12,51.67,51.79,50.99,51.12,1425315
3-Oct-12,51.54,51.93,51.31,51.56,957010
2-Oct-12,51.25,51.47,51.01,51.39,972460
1-Oct-12,51.27,51.27,50.50,50.88,1052110
28-Sep-12,51.16,51.36,50.54,51.22,1113259
27-Sep-12,50.97,51.47,50.85,51.34,971108
26-Sep-12,51.14,51.23,50.29,50.80,544091
25-Sep-12,51.23,51.68,51.00,51.04,1091434
24-Sep-12,50.78,51.40,50.52,51.22,582456
21-Sep-12,51.07,51.35,51.03,51.16,1113253
20-Sep-12,50.43,51.04,50.43,50.70,1028561
19-Sep-12,50.44,50.92,50.35,50.60,937579
18-Sep-12,50.10,50.40,49.99,50.31,650446
17-Sep-12,50.53,50.77,49.96,50.20,760378
14-Sep-12,49.51,50.52,49.48,50.52,1574465
13-Sep-12,48.75,49.95,48.37,49.54,1368504
12-Sep-12,47.98,48.82,47.91,48.81,1180896
11-Sep-12,46.91,47.85,46.72,47.77,1060470
10-Sep-12,47.10,47.14,46.77,46.79,576968
7-Sep-12,46.74,47.36,46.44,47.10,747612
6-Sep-12,46.50,47.28,46.37,46.95,976305
5-Sep-12,46.52,46.84,46.07,46.10,862725
4-Sep-12,46.99,47.02,46.08,46.80,928273
31-Aug-12,47.26,47.55,46.82,47.03,754350
30-Aug-12,47.04,47.36,46.76,47.09,922934
29-Aug-12,47.15,47.60,47.15,47.55,1443182
28-Aug-12,46.73,47.40,46.61,47.28,1149110
27-Aug-12,46.48,47.13,46.46,47.02,634158
24-Aug-12,46.30,46.53,45.80,46.53,784293
23-Aug-12,46.15,46.64,45.91,46.64,913757
22-Aug-12,46.33,46.42,45.87,46.17,808014
21-Aug-12,46.34,46.68,46.26,46.49,544464
20-Aug-12,46.22,46.48,45.80,46.45,558289
17-Aug-12,46.01,46.43,46.00,46.35,543752
16-Aug-12,45.97,46.30,45.88,46.00,893285
15-Aug-12,45.64,45.99,45.37,45.87,709519
14-Aug-12,45.83,45.91,45.44,45.58,535342
13-Aug-12,45.63,45.88,45.24,45.72,623098
10-Aug-12,45.39,45.68,45.13,45.64,489708
9-Aug-12,45.07,45.92,44.94,45.56,705308
8-Aug-12,44.75,45.32,44.72,45.14,569476
7-Aug-12,44.17,45.04,44.08,44.93,942765
6-Aug-12,43.34,44.10,43.34,44.06,632521
3-Aug-12,43.09,43.35,42.84,43.27,479533
2-Aug-12,41.95,42.70,41.68,42.39,927892
1-Aug-12,41.65,42.98,41.20,42.31,1102881
31-Jul-12,41.91,42.50,41.51,41.65,1114343
30-Jul-12,42.21,42.85,42.12,42.16,2489223
27-Jul-12,41.49,42.56,41.22,42.51,644768
26-Jul-12,41.18,41.46,40.83,41.25,418573
25-Jul-12,40.10,40.62,39.88,40.34,419779
24-Jul-12,40.75,40.81,39.67,39.95,496469
23-Jul-12,40.19,40.92,39.02,40.74,307729
20-Jul-12,41.50,41.69,41.15,41.25,313921
19-Jul-12,41.50,42.01,41.27,41.77,554374
18-Jul-12,40.42,41.46,40.42,41.35,499465
17-Jul-12,40.49,40.67,39.85,40.45,472522
16-Jul-12,40.74,40.79,40.21,40.40,455413
13-Jul-12,40.43,40.96,40.34,40.85,591841
12-Jul-12,40.18,40.43,39.98,40.25,510441
11-Jul-12,40.73,40.96,40.22,40.52,661160
10-Jul-12,41.50,41.75,40.48,40.64,732876
9-Jul-12,41.66,41.93,41.05,41.30,858066
6-Jul-12,42.82,42.94,41.66,41.96,594046
5-Jul-12,42.06,43.33,42.06,43.24,1014195
3-Jul-12,41.61,42.23,41.59,42.23,626020
2-Jul-12,41.50,41.83,41.39,41.57,856746
29-Jun-12,41.82,41.96,41.55,41.85,1010273
28-Jun-12,41.34,41.56,40.58,40.92,902353
27-Jun-12,41.01,41.73,41.01,41.61,455802
26-Jun-12,40.82,41.13,40.54,40.86,588480
25-Jun-12,40.99,41.24,40.53,40.71,466279
22-Jun-12,41.26,41.58,41.09,41.39,737276
21-Jun-12,42.29,42.32,40.95,41.02,560966
20-Jun-12,41.91,42.48,41.76,42.24,550835
19-Jun-12,41.93,42.04,41.64,41.86,604153
18-Jun-12,41.06,41.77,40.89,41.65,430460
15-Jun-12,40.85,41.39,40.84,41.23,809889
14-Jun-12,40.51,40.92,40.13,40.79,639028
13-Jun-12,40.77,41.09,40.30,40.42,995777
12-Jun-12,40.25,40.86,40.19,40.83,466263
11-Jun-12,41.20,41.22,40.15,40.21,569964
8-Jun-12,40.39,40.97,40.29,40.86,723173
7-Jun-12,41.30,41.69,40.58,40.67,826513
6-Jun-12,40.26,40.95,40.22,40.89,789262
5-Jun-12,39.57,40.12,39.44,40.01,646182
4-Jun-12,39.07,39.66,39.05,39.60,2055924
1-Jun-12,39.06,39.56,38.80,39.10,1029946
31-May-12,39.48,40.10,38.99,39.78,1346048
30-May-12,39.49,39.84,38.86,39.58,912337
29-May-12,39.68,40.27,39.60,40.22,850153
25-May-12,39.24,39.59,39.12,39.37,485719
24-May-12,40.32,40.32,38.92,39.18,1010246
23-May-12,39.48,40.24,39.20,40.21,1390582
22-May-12,39.60,39.82,39.44,39.80,1521859
21-May-12,38.52,39.74,38.46,39.65,1784649
18-May-12,39.18,39.18,38.33,38.43,656626
17-May-12,39.60,39.75,38.91,38.95,732523
16-May-12,40.57,40.59,39.61,39.63,860261
15-May-12,40.53,40.76,40.15,40.22,807845
14-May-12,40.82,40.94,40.52,40.66,713151
11-May-12,41.06,41.63,40.94,41.23,626985
10-May-12,41.70,41.78,41.27,41.34,703120
9-May-12,40.99,41.74,40.88,41.40,954314
8-May-12,41.01,41.70,40.85,41.61,1119093
7-May-12,40.71,41.33,40.71,41.20,1212898
4-May-12,41.58,41.60,40.95,41.02,1152759
3-May-12,42.60,42.61,41.89,41.92,1181810
2-May-12,43.61,43.66,42.59,42.71,1726616
1-May-12,43.98,45.55,43.24,44.50,2697284
30-Apr-12,45.52,45.74,45.23,45.54,888423
27-Apr-12,45.45,45.79,45.36,45.64,822211
26-Apr-12,44.89,45.43,44.80,45.35,795835
25-Apr-12,44.25,44.99,43.67,44.90,778080
24-Apr-12,43.64,43.92,43.41,43.83,636531
23-Apr-12,43.75,43.79,43.45,43.59,609396
20-Apr-12,44.35,44.68,43.97,44.10,847525
19-Apr-12,44.53,44.76,43.87,44.21,641983
18-Apr-12,44.60,44.77,44.32,44.61,605832
17-Apr-12,44.13,44.96,44.05,44.67,592405
16-Apr-12,44.77,44.89,43.83,43.85,782035
13-Apr-12,44.30,44.59,44.19,44.42,670048
12-Apr-12,43.82,44.54,43.81,44.34,463202
11-Apr-12,43.62,44.18,43.53,43.81,657775
10-Apr-12,43.75,44.06,42.93,42.97,841118
9-Apr-12,43.51,43.91,43.50,43.78,668338
5-Apr-12,44.20,44.46,43.83,44.06,715684
4-Apr-12,44.74,44.84,44.14,44.41,923435
3-Apr-12,45.56,45.66,44.74,45.06,1020638
2-Apr-12,45.11,45.76,44.86,45.70,1008246
30-Mar-12,45.05,45.42,44.67,45.08,845946
29-Mar-12,44.49,44.82,44.23,44.72,567480
28-Mar-12,44.74,44.80,44.19,44.77,670526
27-Mar-12,45.14,45.21,44.67,44.73,547249
26-Mar-12,44.35,45.05,44.30,45.03,814240
23-Mar-12,43.87,44.19,43.73,44.05,396241
22-Mar-12,43.65,43.85,43.32,43.72,987537
21-Mar-12,43.98,43.98,43.35,43.82,552504
20-Mar-12,44.12,44.12,43.62,43.99,457383
19-Mar-12,44.45,45.10,44.03,44.37,623668
16-Mar-12,44.38,44.54,44.23,44.40,972825
15-Mar-12,43.93,44.32,43.74,44.20,584965
14-Mar-12,43.75,44.00,43.65,43.83,384193
13-Mar-12,43.79,43.96,43.51,43.89,704196
12-Mar-12,43.64,43.90,43.22,43.56,439592
9-Mar-12,43.29,43.90,43.27,43.62,505806
8-Mar-12,42.85,43.42,42.85,43.28,634448
7-Mar-12,42.76,42.91,42.56,42.64,722066
6-Mar-12,43.15,43.18,42.52,42.65,644441
5-Mar-12,43.50,43.68,43.18,43.61,756615
2-Mar-12,43.95,44.39,43.74,43.79,766556
1-Mar-12,43.85,44.11,43.64,43.93,1157489
29-Feb-12,43.59,44.00,43.50,43.63,1413532
28-Feb-12,43.40,43.61,43.40,43.48,884281
27-Feb-12,43.05,43.54,42.91,43.38,908342
