Date,Open,High,Low,Close,Volume
17-May-13,574.36,585.00,572.25,584.78,624466
16-May-13,572.87,573.66,570.14,570.14,440821
15-May-13,570.34,574.95,569.16,574.36,655461
14-May-13,557.86,571.25,556.42,569.68,656956
13-May-13,553.00,558.41,553.00,555.84,344097
10-May-13,553.79,557.54,533.80,555.13,466910
9-May-13,552.95,556.17,549.89,551.88,438687
8-May-13,551.17,554.96,548.28,553.72,439009
7-May-13,548.08,551.93,545.44,551.26,438238
6-May-13,553.60,556.77,547.03,547.73,606252
3-May-13,551.74,557.66,550.63,553.55,794184
2-May-13,536.00,547.33,535.69,545.53,946935
1-May-13,538.77,544.85,536.02,539.82,1011182
30-Apr-13,539.79,552.93,539.57,552.93,799404
29-Apr-13,537.48,539.99,535.35,539.01,380900
26-Apr-13,534.22,538.16,533.47,535.33,454256
25-Apr-13,534.13,539.00,525.15,535.14,378644
24-Apr-13,531.97,534.75,531.23,532.02,266301
23-Apr-13,525.94,531.19,523.59,531.00,356867
22-Apr-13,522.05,523.69,518.79,522.11,440920
19-Apr-13,522.83,523.71,518.56,521.96,511071
18-Apr-13,525.75,526.48,521.00,521.00,643396
17-Apr-13,527.25,530.86,524.68,525.76,630925
16-Apr-13,523.11,531.58,522.06,531.58,549519
15-Apr-13,530.23,533.85,521.71,521.71,529870
12-Apr-13,534.65,536.42,529.61,532.99,679515
11-Apr-13,534.42,542.32,532.57,541.24,567836
10-Apr-13,529.67,537.98,528.43,534.43,483883
9-Apr-13,534.00,534.36,523.15,527.64,902462
8-Apr-13,530.69,535.66,529.78,534.37,363071
5-Apr-13,526.68,532.65,526.27,531.60,578407
4-Apr-13,532.75,535.64,530.14,534.22,443308
3-Apr-13,540.85,542.96,530.39,533.25,533059
2-Apr-13,540.70,543.99,539.02,540.59,369568
1-Apr-13,542.44,546.90,536.00,537.23,550147
28-Mar-13,538.40,541.96,536.90,541.13,669133
27-Mar-13,532.21,540.73,530.38,538.03,648836
26-Mar-13,523.00,537.19,522.22,535.47,910641
25-Mar-13,520.25,523.96,518.77,519.99,541988
22-Mar-13,515.82,518.78,515.53,517.50,509485
21-Mar-13,516.44,517.72,513.22,514.01,550420
20-Mar-13,516.00,518.70,514.35,518.62,455107
19-Mar-13,516.22,517.84,508.16,511.60,630813
18-Mar-13,515.31,519.66,514.73,515.01,562772
15-Mar-13,525.99,528.83,518.22,519.37,1160791
14-Mar-13,528.55,531.25,526.71,527.18,556683
13-Mar-13,522.33,528.37,521.12,527.48,471493
12-Mar-13,529.87,530.99,522.23,523.16,480849
11-Mar-13,529.58,532.47,528.41,530.89,409086
8-Mar-13,530.05,530.32,524.46,529.23,507093
7-Mar-13,527.72,530.00,525.70,526.67,668828
6-Mar-13,525.52,531.23,523.35,527.58,517909
5-Mar-13,522.53,530.78,521.85,527.10,589484
4-Mar-13,515.98,522.41,515.76,521.41,348637
1-Mar-13,515.00,519.51,513.29,518.30,414160
28-Feb-13,515.19,521.37,513.39,517.82,614971
27-Feb-13,510.96,516.17,507.97,515.19,699387
26-Feb-13,513.54,515.77,507.36,509.70,795662
25-Feb-13,525.34,526.00,510.90,510.90,867202
22-Feb-13,522.91,524.43,517.29,523.83,659592
21-Feb-13,514.00,520.93,510.56,519.59,681324
20-Feb-13,522.00,524.21,512.91,512.91,537622
19-Feb-13,525.00,526.49,520.96,522.86,423479
15-Feb-13,516.31,524.94,516.31,523.13,703147
14-Feb-13,516.15,523.26,516.15,522.16,665515
13-Feb-13,521.25,521.90,516.18,519.21,409509
12-Feb-13,520.86,522.13,518.51,519.64,337804
11-Feb-13,525.62,526.16,519.24,520.85,561519
8-Feb-13,518.46,524.47,518.31,524.47,521424
7-Feb-13,521.90,523.30,516.25,519.55,651794
6-Feb-13,520.15,523.87,518.10,523.55,601537
5-Feb-13,520.37,522.02,516.80,520.69,798299
4-Feb-13,516.29,518.00,512.09,514.22,615124
1-Feb-13,520.81,522.54,513.69,518.71,994804
31-Jan-13,532.00,535.35,513.00,518.40,2041267
30-Jan-13,516.64,521.60,513.90,516.00,1160950
29-Jan-13,514.12,520.75,514.05,518.48,883593
28-Jan-13,520.94,520.94,513.46,514.12,800140
25-Jan-13,522.80,522.80,517.24,519.42,715665
24-Jan-13,517.93,525.70,517.73,522.26,586855
23-Jan-13,519.61,522.46,515.12,517.56,499011
22-Jan-13,524.79,524.79,514.63,519.76,746115
18-Jan-13,519.56,521.50,513.42,521.00,1077071
17-Jan-13,524.67,526.67,521.30,523.35,524998
16-Jan-13,516.43,522.55,515.03,521.29,618950
15-Jan-13,522.24,523.40,519.20,522.80,585736
14-Jan-13,529.55,529.98,521.23,523.51,991396
11-Jan-13,527.51,529.79,525.52,528.68,643363
10-Jan-13,532.47,532.47,524.29,527.65,1256305
9-Jan-13,525.20,532.39,522.67,532.39,1147194
8-Jan-13,520.03,521.05,514.94,517.82,698831
7-Jan-13,513.01,521.31,511.66,519.53,1139780
4-Jan-13,511.15,512.20,507.00,510.98,1149562
3-Jan-13,510.46,515.46,508.15,511.00,945193
2-Jan-13,506.30,510.27,501.00,510.27,1227775
31-Dec-12,483.37,491.92,482.90,491.28,656186
28-Dec-12,485.00,488.65,482.85,483.08,468598
27-Dec-12,486.01,492.86,481.12,487.87,625022
26-Dec-12,494.53,495.94,485.00,486.20,574804
24-Dec-12,492.86,496.25,492.48,495.02,269434
21-Dec-12,493.00,496.89,488.27,493.57,831979
20-Dec-12,492.23,498.62,489.47,498.53,939554
19-Dec-12,494.80,494.89,488.92,489.39,562970
18-Dec-12,490.00,494.98,487.81,492.88,664210
17-Dec-12,483.42,489.90,481.08,489.32,718014
14-Dec-12,481.22,484.80,480.27,482.30,534602
13-Dec-12,485.91,487.60,482.52,484.43,567971
12-Dec-12,482.00,487.38,480.20,483.44,951199
11-Dec-12,480.00,485.00,479.15,481.52,857635
10-Dec-12,480.36,480.46,475.48,479.60,577261
7-Dec-12,481.65,482.84,476.01,476.09,638880
6-Dec-12,475.75,480.88,473.86,480.88,598012
5-Dec-12,483.00,484.00,474.40,478.00,664467
4-Dec-12,487.63,488.00,480.58,483.42,642978
3-Dec-12,491.00,494.51,485.57,486.65,849665
30-Nov-12,485.78,489.86,483.84,488.68,983290
29-Nov-12,484.20,490.75,483.24,486.21,907927
28-Nov-12,475.73,481.58,474.77,481.51,658333
27-Nov-12,480.09,483.68,477.90,478.49,487621
26-Nov-12,480.18,482.78,478.29,480.03,497664
23-Nov-12,480.85,482.00,478.00,481.24,239026
21-Nov-12,478.42,480.70,477.55,479.43,292667
20-Nov-12,479.05,482.58,472.22,477.57,680378
19-Nov-12,469.40,478.68,468.40,478.68,681232
16-Nov-12,458.46,470.46,456.01,464.59,902832
15-Nov-12,462.93,462.93,453.57,457.16,707329
14-Nov-12,472.67,473.99,462.33,463.31,608296
13-Nov-12,467.10,476.92,464.74,471.22,496078
12-Nov-12,465.68,470.97,463.07,470.00,702625
9-Nov-12,458.52,468.70,458.48,464.66,641929
8-Nov-12,464.32,468.21,461.80,461.80,620277
7-Nov-12,470.00,471.19,461.51,464.70,764657
6-Nov-12,468.56,472.89,467.19,471.78,412051
5-Nov-12,467.26,470.96,464.68,465.65,616824
2-Nov-12,471.54,476.99,468.68,469.45,951345
1-Nov-12,463.41,474.99,462.07,468.69,936451
31-Oct-12,452.52,465.00,451.18,460.93,1192971
26-Oct-12,449.36,457.70,448.21,452.98,685396
25-Oct-12,456.50,458.58,447.38,449.36,893726
24-Oct-12,464.75,465.02,453.00,454.54,708217
23-Oct-12,462.55,464.75,458.00,459.86,729359
22-Oct-12,472.98,472.98,462.00,466.93,775643
19-Oct-12,474.63,476.81,467.90,470.06,1006918
18-Oct-12,482.47,485.65,474.37,475.83,879249
17-Oct-12,485.99,486.08,479.16,483.00,724729
16-Oct-12,479.28,481.51,476.09,479.01,455640
15-Oct-12,472.34,476.95,471.75,475.82,899488
12-Oct-12,472.70,476.04,469.47,473.36,825195
11-Oct-12,467.18,475.82,465.02,472.57,1262506
10-Oct-12,464.99,465.17,460.48,462.09,505713
9-Oct-12,472.26,473.00,461.27,464.88,810489
8-Oct-12,474.24,475.48,469.82,471.93,554168
5-Oct-12,478.00,483.00,472.87,475.27,900460
4-Oct-12,472.75,475.00,471.41,474.88,633948
3-Oct-12,459.00,474.68,457.67,473.76,1197561
2-Oct-12,456.96,458.80,454.01,457.65,334610
1-Oct-12,453.18,460.13,452.50,456.89,695681
28-Sep-12,451.13,452.53,448.64,451.48,554766
27-Sep-12,447.60,452.17,446.98,452.17,434153
26-Sep-12,451.32,452.01,445.77,445.84,499093
25-Sep-12,457.60,457.73,451.29,451.52,550927
24-Sep-12,457.50,457.50,453.08,455.29,760802
21-Sep-12,459.31,461.79,456.85,459.52,1285123
20-Sep-12,447.53,459.32,447.25,454.18,1133820
19-Sep-12,452.86,455.40,451.70,451.89,501069
18-Sep-12,453.00,454.99,450.74,452.98,477070
17-Sep-12,454.32,456.30,452.50,453.50,516276
14-Sep-12,455.06,456.66,452.00,454.18,687426
13-Sep-12,446.40,456.59,445.92,455.26,812031
12-Sep-12,445.99,448.33,443.75,446.41,616741
11-Sep-12,438.00,445.90,437.50,442.87,715744
10-Sep-12,436.62,441.20,436.33,437.49,753441
7-Sep-12,432.89,436.79,431.07,436.20,613420
6-Sep-12,425.00,432.60,422.56,432.60,961679
5-Sep-12,423.94,425.42,420.36,422.10,552558
4-Sep-12,417.54,426.00,417.54,424.38,509050
31-Aug-12,422.30,423.63,419.01,422.90,464867
30-Aug-12,422.53,423.95,420.27,420.95,380050
29-Aug-12,424.98,426.47,421.74,425.82,401092
28-Aug-12,422.62,425.90,422.62,424.60,398276
27-Aug-12,422.49,426.20,420.52,423.42,469856
24-Aug-12,418.60,423.47,417.67,422.45,512939
23-Aug-12,420.93,422.80,416.67,418.33,574340
22-Aug-12,421.10,425.72,418.83,421.20,693031
21-Aug-12,427.03,429.81,422.45,423.31,423194
20-Aug-12,427.10,428.60,423.69,427.20,438362
17-Aug-12,427.95,429.46,425.16,426.81,541524
16-Aug-12,427.24,430.90,426.03,428.52,413377
15-Aug-12,428.08,431.10,426.20,427.09,404974
14-Aug-12,427.05,433.15,426.34,428.08,569540
13-Aug-12,424.57,426.76,422.12,425.63,403859
10-Aug-12,423.36,427.86,423.35,426.03,459180
9-Aug-12,424.05,427.86,420.64,425.94,707302
8-Aug-12,415.97,427.00,415.17,424.45,1010064
7-Aug-12,421.29,422.85,413.18,416.40,1217884
6-Aug-12,424.20,427.56,419.00,419.85,763703
3-Aug-12,428.43,429.00,423.00,424.13,1027909
2-Aug-12,425.77,429.08,418.10,423.43,1144340
1-Aug-12,424.09,432.99,420.00,427.20,2172299
31-Jul-12,443.02,443.26,433.16,436.57,1153240
30-Jul-12,436.20,446.75,436.20,441.15,989011
27-Jul-12,423.81,436.75,423.22,436.75,965411
26-Jul-12,418.82,427.44,417.62,423.77,706121
25-Jul-12,413.00,415.00,406.49,412.33,606806
24-Jul-12,417.28,417.78,404.70,409.89,945770
23-Jul-12,416.27,418.60,411.28,415.98,914621
20-Jul-12,424.90,426.87,421.43,423.15,896239
19-Jul-12,438.24,438.99,427.94,427.94,819487
18-Jul-12,433.36,439.45,432.00,436.82,577477
17-Jul-12,438.32,440.00,430.07,435.68,619128
16-Jul-12,439.77,448.00,435.74,436.89,1747965
13-Jul-12,425.22,430.25,423.96,429.60,610576
12-Jul-12,416.05,426.58,414.47,424.25,764540
11-Jul-12,418.95,420.31,412.84,419.89,628378
10-Jul-12,431.80,436.43,420.12,420.25,821022
9-Jul-12,434.33,434.98,423.30,431.27,1106434
6-Jul-12,441.03,445.25,439.44,441.63,817589
5-Jul-12,440.44,445.00,438.43,444.05,597437
3-Jul-12,439.55,443.40,436.80,441.77,486639
2-Jul-12,435.07,439.93,430.16,439.90,618396
29-Jun-12,427.46,430.23,425.63,430.11,937477
28-Jun-12,429.29,430.38,416.76,421.30,962884
27-Jun-12,433.18,435.73,431.15,431.92,444535
26-Jun-12,429.75,434.32,427.03,432.22,619762
25-Jun-12,432.85,434.31,428.52,428.52,701231
22-Jun-12,421.58,435.08,420.60,435.08,871069
21-Jun-12,428.80,432.70,421.04,421.17,554325
20-Jun-12,427.83,429.99,421.12,428.81,499818
19-Jun-12,428.99,429.80,425.75,427.57,687622
18-Jun-12,424.93,427.99,422.30,425.62,630641
15-Jun-12,422.75,426.69,419.95,426.69,812471
14-Jun-12,409.64,419.98,409.54,419.05,745177
13-Jun-12,415.08,418.17,408.00,409.75,612221
12-Jun-12,414.00,419.90,410.94,417.75,578709
11-Jun-12,420.50,421.25,413.51,413.84,590425
8-Jun-12,412.45,416.61,410.91,416.55,744012
7-Jun-12,424.51,425.07,413.98,415.71,943747
6-Jun-12,414.57,419.98,412.77,419.98,973549
5-Jun-12,401.03,409.79,400.24,408.20,969404
4-Jun-12,391.70,401.52,390.10,400.26,966642
1-Jun-12,398.61,399.24,389.90,391.78,1123832
31-May-12,412.30,412.99,399.01,406.51,1066109
30-May-12,410.90,415.63,409.30,411.58,674227
29-May-12,417.33,419.75,413.19,416.05,465784
25-May-12,416.55,421.95,412.12,413.96,694713
24-May-12,420.06,428.77,416.10,419.83,1080971
23-May-12,411.15,417.14,406.57,417.09,875231
22-May-12,410.21,418.30,408.26,413.44,1232063
21-May-12,396.00,410.79,394.20,410.58,1281004
18-May-12,402.02,404.57,394.56,394.56,1111291
17-May-12,413.80,413.80,398.50,398.58,1202268
16-May-12,418.88,420.50,408.68,409.37,1295236
15-May-12,414.72,419.97,413.37,414.47,676823
14-May-12,418.17,421.00,414.44,414.44,1216311
11-May-12,420.00,427.62,419.00,422.40,789087
10-May-12,425.80,429.35,418.27,422.98,1156060
9-May-12,425.82,432.04,421.00,422.83,999521
8-May-12,434.01,436.15,423.05,431.64,1041017
7-May-12,434.65,442.82,434.65,436.12,1080100
4-May-12,437.00,441.91,433.84,439.69,1471572
3-May-12,453.00,454.77,439.69,442.43,1513652
2-May-12,446.69,458.20,440.00,451.45,2165009
1-May-12,455.85,466.98,453.67,455.90,1759008
30-Apr-12,459.40,460.31,451.34,452.27,979309
27-Apr-12,458.11,462.34,455.51,457.58,1084848
26-Apr-12,444.49,456.49,444.49,453.98,1041103
25-Apr-12,434.68,445.06,431.74,445.06,978076
24-Apr-12,430.24,435.87,426.68,430.30,652603
23-Apr-12,436.01,437.43,420.75,430.26,1235374
20-Apr-12,440.01,443.29,437.48,440.44,907127
19-Apr-12,437.18,440.79,432.34,436.82,687998
18-Apr-12,437.31,440.97,435.97,436.70,520790
17-Apr-12,434.82,439.24,434.48,438.43,523254
16-Apr-12,440.87,441.47,429.01,432.66,768609
13-Apr-12,433.63,443.80,430.99,440.46,1058150
12-Apr-12,430.51,434.22,429.70,433.98,531124
11-Apr-12,429.57,432.42,427.22,430.04,575332
10-Apr-12,439.29,440.95,424.19,424.73,1261439
9-Apr-12,432.94,442.88,432.15,439.29,857709
5-Apr-12,430.48,442.20,428.69,439.85,850598
4-Apr-12,434.39,436.50,426.12,430.94,982383
3-Apr-12,431.71,440.60,429.04,438.02,1152939
2-Apr-12,421.84,434.34,419.00,432.05,894396
30-Mar-12,428.63,428.71,420.00,420.54,1018002
29-Mar-12,424.62,428.32,421.58,428.22,509359
28-Mar-12,433.80,434.74,424.81,427.52,683734
27-Mar-12,435.51,435.90,430.66,430.66,730232
