Date,Open,High,Low,Close,Volume
17-May-13,37.47,37.53,36.81,37.08,2997669
16-May-13,37.56,37.94,37.55,37.58,1437921
15-May-13,37.30,37.97,37.22,37.63,2249279
14-May-13,37.29,37.43,37.03,37.40,1668974
13-May-13,37.00,37.38,36.87,37.16,4332798
10-May-13,37.13,37.31,36.95,37.21,4623790
9-May-13,37.35,37.46,36.99,37.10,4974226
8-May-13,37.17,37.57,37.06,37.46,1504600
7-May-13,37.38,37.49,36.96,37.16,1949309
6-May-13,37.31,37.87,37.30,37.41,2936542
3-May-13,37.71,37.91,37.22,37.55,4157931
2-May-13,36.09,36.66,36.00,36.61,2325396
1-May-13,36.31,36.45,36.03,36.10,1051409
30-Apr-13,35.92,36.42,35.75,36.42,1385205
29-Apr-13,35.65,36.05,35.53,35.96,1082109
26-Apr-13,36.27,36.27,35.55,35.60,1997741
25-Apr-13,35.93,36.34,35.75,36.29,1706917
24-Apr-13,35.50,35.88,35.38,35.75,1097588
23-Apr-13,34.92,35.55,34.84,35.40,1386357
22-Apr-13,34.39,34.93,34.04,34.71,1766958
19-Apr-13,34.09,34.44,33.72,34.34,2148856
18-Apr-13,35.30,35.31,34.16,34.23,2729711
17-Apr-13,35.90,35.90,34.70,34.93,3372881
16-Apr-13,36.00,36.43,35.79,36.30,1343525
15-Apr-13,36.07,36.44,35.79,35.87,1368895
12-Apr-13,36.65,36.65,36.04,36.30,1310665
11-Apr-13,36.57,37.00,36.49,36.70,1529585
10-Apr-13,36.08,36.77,36.02,36.74,2049045
9-Apr-13,35.74,36.20,35.36,35.92,1846988
8-Apr-13,35.47,35.76,35.21,35.70,1397689
5-Apr-13,35.10,35.61,34.64,35.54,1685896
4-Apr-13,35.32,35.74,35.06,35.66,2316478
3-Apr-13,36.12,36.12,35.24,35.37,2600673
2-Apr-13,36.30,36.33,35.89,36.09,1936143
1-Apr-13,36.83,36.85,36.14,36.27,1440589
28-Mar-13,36.49,36.80,36.32,36.77,1575054
27-Mar-13,36.37,36.58,36.23,36.50,1810541
26-Mar-13,36.37,36.82,36.33,36.71,975252
25-Mar-13,36.38,36.46,35.96,36.22,1780396
22-Mar-13,35.97,36.24,35.75,36.20,1004881
21-Mar-13,35.99,36.13,35.67,35.73,1199642
20-Mar-13,36.32,36.47,36.07,36.36,1369723
19-Mar-13,36.18,36.19,35.58,36.03,1758910
18-Mar-13,35.80,36.22,35.64,36.02,1396340
15-Mar-13,36.54,36.84,36.11,36.28,2662149
14-Mar-13,36.82,37.38,36.71,36.74,1643739
13-Mar-13,36.80,36.94,36.57,36.63,1903079
12-Mar-13,36.80,37.15,36.56,36.83,2087498
11-Mar-13,36.63,36.98,36.58,36.95,1361587
8-Mar-13,36.97,37.20,36.76,36.85,1812722
7-Mar-13,36.90,37.00,36.55,36.76,1638085
6-Mar-13,36.95,37.00,36.57,36.78,1398281
5-Mar-13,36.53,36.97,36.51,36.92,1815537
4-Mar-13,36.61,36.64,36.18,36.34,1572226
1-Mar-13,36.39,36.66,35.98,36.46,2312108
28-Feb-13,36.78,37.09,36.46,36.47,1620410
27-Feb-13,36.39,36.92,36.24,36.73,2192048
26-Feb-13,36.28,36.54,36.03,36.44,3438551
25-Feb-13,37.00,37.25,36.09,36.11,2039499
22-Feb-13,36.55,36.97,36.35,36.87,1999815
21-Feb-13,36.53,36.53,35.83,36.14,2425212
20-Feb-13,37.08,37.24,36.41,36.45,1808265
19-Feb-13,36.75,37.21,36.50,37.15,2622874
15-Feb-13,37.24,37.44,36.78,37.08,2120543
14-Feb-13,36.54,37.63,36.50,37.32,2990763
13-Feb-13,36.48,36.87,36.48,36.77,2231264
12-Feb-13,36.27,36.63,36.23,36.62,2939647
11-Feb-13,36.19,36.45,36.04,36.44,3549356
8-Feb-13,37.00,37.37,35.88,36.39,6041160
7-Feb-13,34.77,34.77,33.84,33.94,2039569
6-Feb-13,33.97,34.46,33.87,34.45,1757911
5-Feb-13,34.15,34.39,33.92,34.22,1280576
4-Feb-13,34.87,34.87,33.95,34.00,1769817
1-Feb-13,33.92,34.52,33.69,34.52,2429249
31-Jan-13,33.74,33.93,33.44,33.45,1752379
30-Jan-13,33.57,33.89,33.53,33.77,1321504
29-Jan-13,33.60,33.68,33.28,33.58,768521
28-Jan-13,33.54,33.94,33.37,33.72,1374420
25-Jan-13,33.28,33.52,33.21,33.30,1824358
24-Jan-13,33.21,33.39,32.96,33.25,1363613
23-Jan-13,33.32,33.34,32.98,33.15,1567749
22-Jan-13,33.59,33.67,33.09,33.23,2124674
18-Jan-13,33.46,33.59,33.21,33.53,1948313
17-Jan-13,33.50,33.71,33.37,33.61,2502181
16-Jan-13,33.03,33.48,32.83,33.36,2022389
15-Jan-13,33.06,33.12,32.70,33.02,2747032
14-Jan-13,33.38,33.55,32.98,33.11,2799658
11-Jan-13,33.46,33.66,33.32,33.59,2249526
10-Jan-13,33.11,33.55,33.06,33.55,2322606
9-Jan-13,32.75,33.10,32.68,32.94,2428384
8-Jan-13,33.05,33.13,32.38,32.58,2104532
7-Jan-13,33.09,33.45,32.98,33.17,1722021
4-Jan-13,33.50,33.50,33.00,33.21,2403276
3-Jan-13,33.74,33.78,33.31,33.40,1483241
