Date,Open,High,Low,Close,Volume
17-May-13,38.93,39.08,37.80,37.84,18518743
16-May-13,36.55,39.15,36.46,38.46,25043672
15-May-13,35.61,36.50,35.50,36.22,6717797
14-May-13,36.07,36.31,35.51,35.78,8922354
13-May-13,36.17,36.98,35.60,36.09,10732524
10-May-13,35.84,36.24,35.58,36.15,7012695
9-May-13,35.82,36.07,35.51,35.73,6499962
8-May-13,35.54,36.26,35.37,35.82,7364724
7-May-13,35.50,35.75,35.19,35.56,6012141
6-May-13,34.87,35.83,34.76,35.49,7077449
3-May-13,34.29,35.07,34.24,34.90,17404847
2-May-13,34.20,34.30,33.61,33.87,8258642
1-May-13,34.81,34.86,33.65,34.15,10225265
30-Apr-13,34.25,34.91,34.09,34.89,7600573
29-Apr-13,35.00,35.12,34.51,34.53,5291276
26-Apr-13,34.83,35.10,34.59,34.87,5778242
25-Apr-13,35.10,35.59,34.73,34.81,6834019
24-Apr-13,34.81,35.25,34.73,34.86,6846382
23-Apr-13,34.45,35.38,34.15,34.95,8393680
22-Apr-13,33.27,34.17,33.12,34.12,6999288
19-Apr-13,33.17,33.43,32.75,32.99,9945523
18-Apr-13,34.86,34.96,33.68,33.78,5893078
17-Apr-13,35.50,35.52,34.61,34.72,6196642
16-Apr-13,34.82,35.97,34.64,35.81,8142043
15-Apr-13,35.25,35.83,34.62,34.73,8646186
12-Apr-13,33.48,36.16,33.23,35.46,20926123
11-Apr-13,33.59,33.61,33.11,33.47,8647590
10-Apr-13,33.69,34.22,33.51,33.62,11516884
9-Apr-13,34.10,34.54,34.00,34.17,8866077
8-Apr-13,33.91,34.05,33.77,33.93,5871731
5-Apr-13,34.13,34.14,33.19,34.00,10886473
4-Apr-13,34.32,34.61,34.11,34.57,4060412
3-Apr-13,34.61,34.90,34.36,34.44,5836219
2-Apr-13,34.34,34.95,34.11,34.70,8198502
1-Apr-13,34.07,34.40,33.70,34.06,4953945
28-Mar-13,33.59,34.22,33.33,34.16,7172902
27-Mar-13,33.02,33.95,32.98,33.70,3964329
26-Mar-13,33.46,33.54,33.04,33.31,3213300
25-Mar-13,33.55,33.73,33.10,33.19,4830422
22-Mar-13,33.78,33.91,33.44,33.54,6883320
21-Mar-13,33.86,33.96,33.42,33.77,4854538
20-Mar-13,34.20,34.43,33.98,34.15,4914421
19-Mar-13,34.13,34.25,33.52,33.95,5887847
18-Mar-13,34.28,34.30,33.86,34.11,6574524
15-Mar-13,34.34,34.83,34.27,34.56,5607415
14-Mar-13,34.18,34.56,34.18,34.51,4566700
13-Mar-13,34.09,34.27,33.66,34.19,3900332
12-Mar-13,34.29,34.43,33.70,34.00,5155452
11-Mar-13,34.05,34.69,34.02,34.68,4995959
8-Mar-13,34.50,34.67,34.07,34.21,4961228
7-Mar-13,34.53,34.94,33.96,34.28,4678062
6-Mar-13,34.35,34.77,34.18,34.55,3583195
5-Mar-13,33.76,34.55,33.73,34.14,4101555
4-Mar-13,33.94,33.95,33.29,33.59,4540889
1-Mar-13,33.81,34.24,33.30,33.95,6253187
28-Feb-13,34.33,34.50,33.82,33.84,4348781
27-Feb-13,33.89,34.65,33.61,34.43,4173644
26-Feb-13,33.75,34.16,33.51,33.79,5498890
25-Feb-13,34.56,35.00,33.57,33.58,7452658
22-Feb-13,34.72,34.92,34.16,34.38,6796846
21-Feb-13,35.38,35.79,34.13,34.54,7483340
20-Feb-13,36.56,36.57,35.46,35.54,5152071
19-Feb-13,36.50,36.61,36.25,36.48,4709237
15-Feb-13,35.69,36.61,35.56,36.55,8517501
14-Feb-13,34.99,35.92,34.00,35.86,10459776
13-Feb-13,35.41,36.19,34.70,35.82,10308255
12-Feb-13,36.00,36.10,35.26,35.41,5145114
11-Feb-13,35.85,35.85,35.16,35.36,5580184
8-Feb-13,35.59,36.18,35.55,35.75,5143800
7-Feb-13,36.00,36.00,35.09,35.56,5522751
6-Feb-13,35.84,36.31,35.75,36.11,3061153
5-Feb-13,35.98,36.28,35.46,35.98,6207555
4-Feb-13,36.10,36.52,35.65,35.68,3798538
1-Feb-13,36.44,36.67,36.08,36.25,4842902
31-Jan-13,36.36,36.78,36.00,36.00,4036636
30-Jan-13,35.77,36.71,35.77,36.54,7828559
29-Jan-13,35.71,36.95,35.56,35.93,6127478
28-Jan-13,36.89,37.02,36.35,36.38,6478131
25-Jan-13,35.64,36.19,35.52,36.15,6799791
24-Jan-13,35.00,35.62,34.78,35.47,7095469
23-Jan-13,35.00,35.00,34.14,34.72,4452535
22-Jan-13,34.28,34.88,34.01,34.78,4503942
18-Jan-13,34.46,34.46,33.90,34.36,4400107
17-Jan-13,34.55,34.63,34.12,34.47,5729356
16-Jan-13,33.59,34.36,33.38,34.23,6185769
15-Jan-13,33.09,33.55,32.86,33.48,3256950
14-Jan-13,32.78,33.40,32.47,33.24,4811429
11-Jan-13,32.42,33.25,32.40,33.06,4292313
10-Jan-13,32.60,32.70,32.05,32.42,5213510
9-Jan-13,32.67,32.81,31.98,32.21,6275782
8-Jan-13,33.10,33.11,31.74,32.50,9210799
7-Jan-13,33.94,34.23,33.19,33.24,7114455
4-Jan-13,34.12,34.25,33.60,34.08,3953815
3-Jan-13,34.22,34.82,33.84,34.17,4620640
2-Jan-13,34.01,34.50,33.55,34.30,8740292
31-Dec-12,32.74,33.71,32.68,33.55,4321938
28-Dec-12,33.25,33.32,32.75,32.82,2946974
27-Dec-12,33.49,33.55,32.96,33.42,3254071
26-Dec-12,33.70,34.00,33.45,33.55,2417454
24-Dec-12,33.66,33.80,33.30,33.70,1234882
21-Dec-12,33.71,33.90,33.23,33.82,6115501
20-Dec-12,34.26,34.42,33.89,34.07,4378164
19-Dec-12,34.42,34.82,34.24,34.31,6152153
18-Dec-12,33.24,34.30,33.21,34.26,5398385
17-Dec-12,33.09,33.33,32.74,33.18,3461185
14-Dec-12,32.97,33.30,32.84,32.99,4176038
13-Dec-12,33.19,33.51,32.78,33.04,7675476
12-Dec-12,33.91,34.00,33.20,33.25,5126272
11-Dec-12,33.71,34.15,33.48,33.85,5593296
10-Dec-12,33.31,33.95,33.29,33.57,5622040
7-Dec-12,33.00,33.46,32.84,33.42,5591187
6-Dec-12,32.62,32.94,32.62,32.92,5207319
5-Dec-12,31.93,32.98,31.93,32.81,6003717
4-Dec-12,32.11,32.38,32.04,32.05,6630558
3-Dec-12,31.82,32.23,31.71,32.14,5463936
30-Nov-12,31.86,31.95,31.41,31.71,6016881
29-Nov-12,31.37,32.26,31.32,31.88,8452184
28-Nov-12,30.99,31.46,30.72,31.36,6287970
27-Nov-12,31.25,31.66,31.06,31.31,5157562
26-Nov-12,31.12,31.39,30.72,31.36,5230725
23-Nov-12,30.71,31.17,30.52,31.15,2150984
21-Nov-12,30.72,30.78,30.34,30.45,4393745
20-Nov-12,30.75,30.89,30.45,30.61,4254490
19-Nov-12,30.51,30.91,30.02,30.89,6270638
16-Nov-12,30.25,30.36,29.47,30.26,9024321
15-Nov-12,30.22,30.80,29.70,30.20,22808034
14-Nov-12,27.25,27.50,26.87,27.12,16320574
13-Nov-12,26.50,26.76,26.26,26.33,7665790
12-Nov-12,27.40,27.66,26.75,26.82,4241433
9-Nov-12,27.27,27.67,27.20,27.34,3935956
8-Nov-12,27.75,28.06,27.31,27.31,4153163
7-Nov-12,27.85,27.95,27.30,27.73,6326665
6-Nov-12,28.00,28.21,27.93,28.14,7491008
5-Nov-12,27.63,28.10,27.63,27.98,3817998
2-Nov-12,28.67,28.71,27.70,27.74,5709744
1-Nov-12,27.24,28.29,27.06,28.10,8098169
31-Oct-12,27.99,27.99,26.83,26.91,9873416
26-Oct-12,28.03,28.41,27.62,27.88,4662648
25-Oct-12,28.43,28.53,28.03,28.13,5284518
24-Oct-12,28.25,28.84,28.00,28.18,8224501
23-Oct-12,28.55,29.27,28.52,28.76,12701805
22-Oct-12,30.01,30.06,29.73,29.90,3554251
19-Oct-12,30.30,30.39,29.89,29.95,8782782
18-Oct-12,29.97,30.43,29.82,30.27,7891326
17-Oct-12,29.58,29.96,29.06,29.90,7069478
16-Oct-12,29.34,29.89,29.26,29.77,6252044
15-Oct-12,28.99,29.24,28.81,29.19,4093284
12-Oct-12,28.96,29.38,28.87,28.93,4051459
11-Oct-12,29.71,29.80,29.08,29.19,8060416
10-Oct-12,30.03,30.08,29.22,29.31,9409614
9-Oct-12,31.14,31.22,30.15,30.21,5467848
8-Oct-12,30.38,30.84,30.24,30.52,3738494
5-Oct-12,30.82,30.95,30.14,30.59,12900024
4-Oct-12,31.43,31.43,30.80,31.04,8603227
3-Oct-12,32.60,32.62,31.13,31.37,10341323
2-Oct-12,33.07,33.11,32.17,32.45,6302276
1-Oct-12,33.76,34.04,32.75,32.94,6128595
28-Sep-12,33.13,33.29,32.76,32.88,7435813
27-Sep-12,33.06,33.43,33.00,33.23,7826694
26-Sep-12,34.30,34.43,32.88,32.98,11143861
25-Sep-12,35.62,35.78,34.40,34.42,5411385
24-Sep-12,36.02,36.16,35.18,35.40,5092943
21-Sep-12,35.76,36.30,35.57,36.26,8310675
20-Sep-12,35.48,35.70,35.24,35.51,3947189
19-Sep-12,35.43,35.91,35.43,35.74,4205370
18-Sep-12,35.44,35.59,35.10,35.46,4926683
17-Sep-12,35.74,35.88,35.17,35.41,2905164
14-Sep-12,35.51,36.41,35.47,35.81,6490960
13-Sep-12,34.96,35.45,34.62,35.28,6649732
12-Sep-12,34.30,35.44,34.26,35.20,6457118
11-Sep-12,35.08,35.47,35.05,35.18,4800462
10-Sep-12,35.66,35.92,35.03,35.08,3904094
7-Sep-12,35.46,35.98,35.17,35.80,5244143
6-Sep-12,34.76,35.59,34.40,35.56,6589721
5-Sep-12,34.61,34.86,34.25,34.55,3834295
4-Sep-12,34.37,34.84,34.01,34.62,4983498
31-Aug-12,34.49,34.86,34.02,34.52,4627930
30-Aug-12,34.65,34.65,33.91,34.13,4649777
29-Aug-12,33.95,35.05,33.84,34.93,6774818
28-Aug-12,34.84,35.12,34.44,34.68,4578511
27-Aug-12,34.72,35.13,34.39,34.91,7001801
24-Aug-12,33.72,34.92,33.70,34.78,10370638
23-Aug-12,33.32,33.74,33.05,33.40,4936484
22-Aug-12,32.98,33.46,32.82,33.39,4488008
21-Aug-12,33.05,33.35,32.94,33.14,4543285
20-Aug-12,33.34,33.43,32.93,33.08,5584072
17-Aug-12,32.97,33.61,32.53,33.46,8315983
16-Aug-12,33.04,33.37,31.22,32.97,19873969
15-Aug-12,31.55,32.37,31.55,31.75,12668126
14-Aug-12,31.97,32.06,31.31,31.42,5163889
13-Aug-12,32.86,32.86,31.50,31.81,6863334
10-Aug-12,32.14,32.78,31.85,32.58,4984529
9-Aug-12,32.38,32.92,32.01,32.13,8712716
8-Aug-12,33.25,33.33,32.76,32.98,5563013
7-Aug-12,32.63,34.19,32.38,33.45,8402491
6-Aug-12,32.63,32.65,32.01,32.06,4757095
3-Aug-12,32.25,32.99,32.20,32.34,5664470
2-Aug-12,31.91,32.64,31.39,31.61,5636733
1-Aug-12,32.84,32.87,31.60,32.09,5876486
31-Jul-12,32.48,33.08,32.11,32.67,5027849
30-Jul-12,32.86,33.19,32.30,32.49,4430411
27-Jul-12,32.24,33.20,32.05,32.91,5562863
26-Jul-12,32.02,32.39,31.70,32.08,4009092
25-Jul-12,31.15,31.93,31.06,31.47,5063686
24-Jul-12,31.54,32.18,30.96,31.24,9603188
23-Jul-12,30.68,30.83,29.92,30.60,6262385
20-Jul-12,31.00,31.94,30.85,31.19,9455930
19-Jul-12,30.30,31.36,30.15,31.12,7700223
18-Jul-12,28.85,30.82,28.83,30.26,9722488
17-Jul-12,28.85,28.85,28.15,28.54,4539476
16-Jul-12,28.43,28.87,28.36,28.62,4738042
13-Jul-12,28.42,28.81,28.38,28.60,5463860
12-Jul-12,28.57,28.64,28.12,28.37,6113370
11-Jul-12,28.90,29.60,28.44,28.76,4902378
10-Jul-12,29.48,29.58,28.64,28.83,5337148
9-Jul-12,29.72,29.80,29.03,29.14,5287166
6-Jul-12,30.65,30.87,29.45,29.76,6493816
5-Jul-12,31.01,31.29,30.93,31.12,3806938
3-Jul-12,31.00,31.16,30.90,31.10,2544500
2-Jul-12,31.72,31.79,30.73,30.95,6099013
29-Jun-12,30.50,31.83,30.29,31.82,7745380
28-Jun-12,30.20,30.57,29.55,29.89,6140890
27-Jun-12,29.69,30.64,29.50,30.59,7750059
26-Jun-12,30.13,31.33,29.60,29.66,11329009
25-Jun-12,29.77,30.17,29.62,30.02,6137137
22-Jun-12,29.55,30.24,29.50,30.16,12291965
21-Jun-12,30.94,31.13,29.50,29.55,7497891
20-Jun-12,31.05,31.33,30.68,30.97,5132798
19-Jun-12,30.87,31.06,30.64,30.90,4488640
18-Jun-12,30.62,30.92,30.29,30.78,5420298
15-Jun-12,30.23,30.87,29.96,30.73,7788475
14-Jun-12,30.20,30.26,29.57,30.09,8984684
