Date,Open,High,Low,Close,Volume
17-May-13,66.22,66.67,65.57,66.61,11528726
16-May-13,65.43,66.20,65.36,65.64,11532265
15-May-13,65.33,65.60,65.04,65.54,10592209
14-May-13,65.01,65.32,64.74,65.32,8986401
13-May-13,64.34,65.07,64.18,64.82,9940620
10-May-13,64.01,64.64,64.01,64.64,9431267
9-May-13,64.21,64.50,63.93,64.11,9502100
8-May-13,63.90,64.50,63.90,64.12,11134396
7-May-13,63.81,64.22,63.53,63.97,9762723
6-May-13,63.82,64.32,63.74,63.86,10558017
3-May-13,63.52,63.85,63.31,63.77,10548805
2-May-13,62.14,63.01,61.93,62.89,15143014
1-May-13,61.43,62.07,61.43,61.92,14881748
30-Apr-13,61.60,62.12,61.25,61.60,21043312
29-Apr-13,61.80,62.11,61.52,61.61,22799496
26-Apr-13,62.51,62.68,61.47,61.52,28623770
25-Apr-13,62.81,63.05,61.79,62.44,56911610
24-Apr-13,66.00,66.56,65.81,66.00,17845981
23-Apr-13,64.95,65.49,64.61,65.35,9924478
22-Apr-13,64.09,64.59,63.58,64.58,11160122
19-Apr-13,63.62,64.12,63.03,63.93,12205059
18-Apr-13,64.99,65.59,63.25,63.64,15041454
17-Apr-13,65.08,65.18,64.01,64.23,14208291
16-Apr-13,65.78,66.18,65.38,65.81,10076775
15-Apr-13,66.23,66.67,65.43,65.49,9738520
12-Apr-13,67.02,67.07,66.09,66.68,10766583
11-Apr-13,67.24,67.60,66.62,67.03,11181879
10-Apr-13,66.28,67.66,66.19,67.28,11095783
9-Apr-13,66.00,66.20,65.32,65.96,12059479
8-Apr-13,65.14,65.86,65.09,65.86,5605857
5-Apr-13,64.67,65.25,64.55,65.16,10245001
4-Apr-13,65.98,66.30,65.34,65.81,7933469
3-Apr-13,66.50,66.65,65.94,65.97,10655935
2-Apr-13,66.50,66.71,65.90,66.26,9207996
1-Apr-13,66.70,66.84,65.60,66.00,8706418
28-Mar-13,66.64,67.00,66.53,66.94,7899189
27-Mar-13,66.17,66.74,65.76,66.68,6659749
26-Mar-13,65.99,66.69,65.87,66.62,9802334
25-Mar-13,66.19,66.19,65.28,65.67,9045877
22-Mar-13,65.69,66.05,65.60,65.92,8233505
21-Mar-13,65.70,66.12,65.06,65.35,9215012
20-Mar-13,65.41,66.10,64.74,65.74,12408112
19-Mar-13,64.69,65.00,63.91,64.72,10231888
18-Mar-13,64.41,64.80,63.40,64.56,14184367
15-Mar-13,66.42,66.58,64.74,64.98,26182492
14-Mar-13,67.00,67.06,66.36,66.57,9262438
13-Mar-13,67.01,67.50,66.66,66.76,9621989
12-Mar-13,66.71,67.09,66.37,67.04,9116033
11-Mar-13,66.73,66.93,66.31,66.70,6562861
8-Mar-13,67.33,67.92,66.50,66.65,8590004
7-Mar-13,66.97,67.10,66.40,66.79,9305367
6-Mar-13,67.48,67.52,66.22,66.67,16968024
5-Mar-13,67.52,68.50,67.51,67.97,16205799
4-Mar-13,66.05,66.65,65.86,66.63,7970394
1-Mar-13,65.34,66.65,65.16,66.30,11186743
28-Feb-13,65.82,66.22,65.61,65.64,9596474
27-Feb-13,65.24,66.15,65.00,65.64,8976985
26-Feb-13,64.97,65.54,64.97,65.27,10028687
25-Feb-13,65.39,67.45,64.80,64.80,13081268
22-Feb-13,65.21,65.77,64.67,64.94,7072039
21-Feb-13,65.20,65.43,64.32,64.82,11749523
20-Feb-13,66.01,66.06,64.49,65.27,12388869
19-Feb-13,65.75,65.88,65.31,65.67,7488641
15-Feb-13,65.71,66.25,65.11,65.43,11356603
14-Feb-13,65.12,65.70,65.03,65.53,13771192
13-Feb-13,66.20,66.24,65.20,65.45,8952829
12-Feb-13,66.36,66.42,65.53,65.88,16456620
11-Feb-13,67.00,67.31,66.75,67.18,6653928
8-Feb-13,66.90,67.45,66.32,66.95,7396330
7-Feb-13,67.12,67.33,66.02,66.54,11521674
6-Feb-13,66.52,67.20,66.47,67.18,11196738
5-Feb-13,66.18,67.15,65.88,66.95,12357996
4-Feb-13,66.25,67.10,65.36,65.64,14311665
1-Feb-13,66.40,66.80,65.62,66.73,14841311
31-Jan-13,67.08,67.44,65.96,66.02,27666121
30-Jan-13,63.65,64.12,63.25,63.53,19181188
29-Jan-13,63.62,63.96,62.33,63.45,12089200
28-Jan-13,63.47,64.04,63.46,63.67,12237543
25-Jan-13,64.18,64.52,63.37,63.66,15996553
24-Jan-13,63.95,64.95,63.85,64.40,12751553
23-Jan-13,64.90,65.30,64.66,64.89,9251088
22-Jan-13,64.73,64.88,64.06,64.68,8343210
18-Jan-13,64.73,65.07,64.46,64.68,12459657
17-Jan-13,64.92,65.32,64.80,65.14,7733695
16-Jan-13,64.54,65.04,64.27,64.79,10131930
15-Jan-13,63.75,64.47,63.52,64.44,6392373
14-Jan-13,64.29,64.67,63.76,64.24,12727325
11-Jan-13,64.78,65.00,64.33,64.90,6762005
10-Jan-13,65.47,65.53,64.39,64.78,13113968
9-Jan-13,64.35,64.96,64.27,64.88,12374487
8-Jan-13,64.56,64.64,63.60,63.91,12858623
7-Jan-13,63.35,64.24,63.16,64.01,10311497
4-Jan-13,64.10,64.35,63.22,63.50,13920630
3-Jan-13,64.82,65.19,64.09,64.45,14119294
2-Jan-13,63.58,64.75,63.54,64.75,17583857
31-Dec-12,60.52,62.25,60.22,61.86,15216548
28-Dec-12,61.15,61.60,60.55,60.64,7947871
27-Dec-12,61.57,61.75,60.72,61.51,8218618
26-Dec-12,61.88,62.26,61.30,61.59,7072555
24-Dec-12,61.50,61.95,61.40,61.90,5774899
21-Dec-12,61.51,62.50,61.36,61.61,20091239
20-Dec-12,62.93,63.16,62.53,62.86,10470372
19-Dec-12,63.31,63.54,62.53,62.55,14142193
18-Dec-12,62.40,63.45,62.15,63.36,12935466
17-Dec-12,60.21,62.06,59.90,62.04,20747398
14-Dec-12,61.58,61.97,59.44,59.83,37042930
13-Dec-12,63.07,64.01,62.50,62.76,13004060
12-Dec-12,64.51,64.72,63.33,63.49,11693045
11-Dec-12,64.17,64.67,64.09,64.35,9745691
10-Dec-12,63.80,64.24,63.67,63.93,7277579
7-Dec-12,64.32,64.40,63.48,63.86,9273340
6-Dec-12,63.60,64.20,63.40,64.20,8947092
5-Dec-12,63.09,63.98,62.97,63.63,11631902
4-Dec-12,63.44,63.58,63.00,63.46,10194219
3-Dec-12,63.91,63.95,63.24,63.37,8559313
30-Nov-12,63.62,63.80,63.16,63.62,13019495
29-Nov-12,63.05,63.68,62.88,63.35,11978052
28-Nov-12,61.86,62.68,61.67,62.65,9933746
27-Nov-12,62.61,62.72,61.93,62.26,9150401
26-Nov-12,62.75,63.04,62.04,62.49,11120110
23-Nov-12,62.35,63.16,62.20,63.13,4803196
21-Nov-12,62.17,62.55,61.88,62.14,7841899
