Date,Open,High,Low,Close,Volume
17-May-13,40.92,41.48,40.59,41.47,4901448
16-May-13,40.74,41.14,40.47,40.59,6561666
15-May-13,40.90,40.99,40.47,40.61,7891899
14-May-13,40.49,41.20,40.15,40.85,5263875
13-May-13,40.03,40.90,39.97,40.27,4013611
10-May-13,40.29,40.72,40.05,40.50,4252624
9-May-13,40.91,41.40,40.11,40.33,10509871
8-May-13,42.18,42.50,41.50,42.32,5398168
7-May-13,42.05,42.49,41.56,42.32,5535233
6-May-13,41.27,42.24,41.27,41.97,7023364
3-May-13,40.00,41.52,39.89,41.23,8594777
2-May-13,38.06,39.92,38.05,39.63,14001145
1-May-13,36.80,37.22,36.41,36.94,6202740
30-Apr-13,36.19,36.70,35.99,36.70,5548652
29-Apr-13,36.48,36.73,35.86,36.22,4811507
26-Apr-13,36.47,36.75,36.21,36.40,6434574
25-Apr-13,37.01,37.85,36.34,36.54,8986015
24-Apr-13,36.22,37.13,36.08,36.46,6283831
23-Apr-13,35.30,36.24,35.10,36.03,4746749
22-Apr-13,34.50,35.22,34.35,34.81,3383924
19-Apr-13,33.77,34.54,33.22,34.44,5205873
18-Apr-13,34.89,35.15,33.69,33.93,5917412
17-Apr-13,35.01,35.27,34.08,34.72,4970753
16-Apr-13,34.98,35.85,34.80,35.34,4611728
15-Apr-13,35.79,36.55,34.57,34.80,6120715
12-Apr-13,36.49,36.60,35.84,36.09,3970162
11-Apr-13,36.99,37.04,35.75,36.53,7282087
10-Apr-13,37.18,37.90,37.00,37.68,5664792
9-Apr-13,36.00,37.26,35.95,36.96,5694103
8-Apr-13,35.81,36.25,35.18,35.98,3671110
5-Apr-13,35.88,35.88,35.01,35.51,6002604
4-Apr-13,36.13,36.37,35.77,36.34,2524548
3-Apr-13,36.42,37.00,35.95,36.06,5040649
2-Apr-13,36.72,36.72,35.80,36.28,3947274
1-Apr-13,36.86,37.14,36.41,36.72,3534968
28-Mar-13,36.65,36.95,36.26,36.56,4485077
27-Mar-13,35.68,36.86,35.59,36.68,5966116
26-Mar-13,35.09,36.48,35.01,35.88,9470642
25-Mar-13,34.93,34.99,34.26,34.72,3751975
22-Mar-13,34.63,34.85,34.15,34.72,2421692
21-Mar-13,34.70,34.78,34.08,34.52,3195104
20-Mar-13,34.81,35.11,34.69,34.95,2573432
19-Mar-13,35.30,35.44,34.09,34.39,4444676
18-Mar-13,34.81,35.56,34.50,35.29,3330573
15-Mar-13,35.70,35.82,34.80,35.35,10203285
14-Mar-13,35.50,35.95,35.37,35.89,5130196
13-Mar-13,35.04,35.82,34.70,35.32,6580715
12-Mar-13,33.28,35.06,33.12,34.94,8729905
11-Mar-13,32.31,33.39,32.20,33.33,4424573
8-Mar-13,32.43,32.56,32.01,32.50,4433548
7-Mar-13,33.18,33.20,31.94,32.22,5739702
6-Mar-13,32.52,33.26,32.45,33.02,5379251
5-Mar-13,32.29,32.62,32.10,32.34,3912681
4-Mar-13,32.29,32.40,31.55,32.04,4806401
1-Mar-13,32.03,32.45,31.72,32.32,3921461
28-Feb-13,31.86,32.50,31.71,32.16,5460052
27-Feb-13,31.28,32.13,31.03,31.97,3485292
26-Feb-13,30.93,31.53,30.26,31.33,5136311
25-Feb-13,32.31,32.40,30.79,30.84,4889746
22-Feb-13,31.98,32.25,31.37,31.84,4413196
21-Feb-13,32.23,32.34,31.38,31.72,5674851
20-Feb-13,34.24,34.24,32.39,32.50,5580616
19-Feb-13,34.74,34.74,33.97,34.18,4976995
15-Feb-13,34.78,35.02,34.24,34.44,5091327
14-Feb-13,34.81,35.26,34.80,34.95,3537420
13-Feb-13,34.93,35.08,34.64,35.01,3404630
12-Feb-13,35.12,35.14,34.66,34.68,3486369
11-Feb-13,35.56,35.66,34.80,35.05,4311993
8-Feb-13,34.85,36.83,34.76,35.48,10520758
7-Feb-13,34.39,34.76,33.53,34.74,9803890
6-Feb-13,33.80,34.70,33.72,34.62,6000311
5-Feb-13,33.82,34.24,33.43,33.96,5903837
4-Feb-13,33.44,34.17,33.16,33.80,7083861
1-Feb-13,34.38,34.40,33.23,33.67,7864892
31-Jan-13,33.21,34.84,32.96,33.98,13520872
30-Jan-13,33.91,34.44,33.85,33.89,5939983
29-Jan-13,35.14,35.15,33.60,33.91,16672965
28-Jan-13,37.70,37.83,37.25,37.41,8838297
25-Jan-13,37.13,37.56,36.92,37.25,8976244
24-Jan-13,36.39,37.37,36.27,36.87,8486687
23-Jan-13,37.90,37.94,36.15,36.62,11842253
22-Jan-13,35.46,37.92,35.34,37.89,15326825
18-Jan-13,34.94,35.41,34.60,35.38,8398388
17-Jan-13,34.41,35.08,34.36,35.02,7421985
16-Jan-13,34.22,34.70,34.06,34.30,4906418
15-Jan-13,33.93,34.69,33.55,34.46,8044343
14-Jan-13,33.55,34.45,32.80,33.97,11264419
11-Jan-13,33.75,33.78,33.05,33.29,7241735
10-Jan-13,33.66,33.72,32.98,33.68,9941043
9-Jan-13,32.00,33.50,31.95,33.48,17975082
8-Jan-13,31.32,31.92,30.82,31.39,8464176
7-Jan-13,31.39,31.91,31.16,31.48,5594098
4-Jan-13,31.47,31.63,31.11,31.45,4520851
3-Jan-13,31.93,32.00,31.32,31.38,4948817
2-Jan-13,31.59,32.00,31.27,31.95,7446477
31-Dec-12,29.91,30.77,29.80,30.42,6504443
