Date,Open,High,Low,Close,Volume
17-May-13,48.94,49.16,48.46,48.70,1470382
16-May-13,49.27,49.53,48.81,48.88,1393215
15-May-13,48.75,49.62,48.75,49.27,1207304
14-May-13,49.01,49.47,48.80,48.97,1666425
13-May-13,48.92,49.18,48.67,48.93,703040
10-May-13,48.74,49.20,48.63,48.96,1179605
9-May-13,48.81,49.06,48.49,48.69,1112229
8-May-13,48.10,49.01,48.03,48.85,1470092
7-May-13,47.67,48.33,47.64,48.25,1235387
6-May-13,47.50,47.74,47.33,47.61,1027195
3-May-13,47.03,47.62,47.03,47.35,1384209
2-May-13,46.15,47.09,46.15,46.76,1669183
1-May-13,46.11,46.64,46.03,46.26,2271116
30-Apr-13,45.07,46.34,45.07,46.07,2731482
29-Apr-13,44.79,45.37,44.19,45.24,2715665
26-Apr-13,46.25,46.50,43.30,44.77,5687302
25-Apr-13,45.34,46.21,45.34,46.10,2631011
24-Apr-13,44.63,45.63,44.60,45.37,2098319
23-Apr-13,44.72,44.80,43.97,44.53,1770320
22-Apr-13,44.87,45.08,44.28,44.39,1426375
19-Apr-13,45.35,45.35,44.56,44.71,1489219
18-Apr-13,45.67,45.69,44.97,45.33,1522331
17-Apr-13,45.69,45.92,44.97,45.54,1193593
16-Apr-13,46.24,46.48,45.94,46.00,1177338
15-Apr-13,46.36,46.74,45.84,45.91,1474107
12-Apr-13,46.43,46.82,45.92,46.73,2451325
11-Apr-13,46.42,47.08,46.30,46.50,2616403
10-Apr-13,45.70,46.48,45.67,46.41,1972796
9-Apr-13,46.39,46.49,45.23,45.50,2485102
8-Apr-13,45.89,46.40,45.57,46.15,1713911
5-Apr-13,46.12,46.46,45.65,45.95,1899784
4-Apr-13,46.57,46.80,46.27,46.64,1947750
3-Apr-13,46.82,47.00,46.43,46.46,1886779
2-Apr-13,47.36,47.65,46.79,46.90,1867084
1-Apr-13,47.24,47.73,47.15,47.29,1519695
28-Mar-13,47.02,47.50,46.89,47.27,3277223
27-Mar-13,46.46,47.20,46.16,47.12,1769176
26-Mar-13,46.43,46.90,46.25,46.77,1630630
25-Mar-13,46.46,46.57,45.97,46.32,1239405
22-Mar-13,45.82,46.92,45.70,46.36,3207914
21-Mar-13,45.57,45.93,45.46,45.62,1258553
20-Mar-13,45.52,46.26,45.49,45.98,1533548
19-Mar-13,45.41,45.90,44.95,45.34,1895318
18-Mar-13,45.50,45.52,45.08,45.23,1562315
15-Mar-13,45.56,45.88,45.41,45.65,3093473
14-Mar-13,46.33,46.49,45.72,45.76,1951179
13-Mar-13,46.58,46.75,46.23,46.30,1821729
12-Mar-13,46.79,46.91,46.08,46.41,1667745
11-Mar-13,46.74,47.18,46.48,46.85,1195396
8-Mar-13,46.69,46.99,46.02,46.78,2012316
7-Mar-13,46.77,46.90,45.98,46.41,2725696
6-Mar-13,46.79,47.41,46.48,46.63,1781546
5-Mar-13,46.52,46.69,46.04,46.58,2116538
4-Mar-13,46.11,46.55,45.76,46.41,2255700
1-Mar-13,45.97,46.37,45.55,46.17,2479610
28-Feb-13,45.35,46.10,45.19,45.81,3776848
27-Feb-13,43.96,45.72,43.94,45.32,2522003
26-Feb-13,45.08,45.38,44.58,44.78,2013292
25-Feb-13,45.84,46.06,44.87,44.88,1781805
22-Feb-13,45.72,46.10,45.51,45.80,1774636
21-Feb-13,45.64,45.82,44.99,45.30,1770337
20-Feb-13,46.18,46.58,45.48,45.62,2836654
19-Feb-13,46.14,46.42,45.91,46.22,2413163
15-Feb-13,45.85,46.70,45.84,46.14,3076199
14-Feb-13,45.56,45.81,45.38,45.67,1775999
13-Feb-13,45.59,45.86,45.48,45.58,2455000
12-Feb-13,45.72,45.91,45.27,45.53,2058576
11-Feb-13,45.33,45.82,45.06,45.66,2530148
8-Feb-13,45.09,45.55,44.99,45.39,2283318
7-Feb-13,44.87,45.14,44.61,44.98,2438509
6-Feb-13,44.89,45.60,44.79,44.93,3382622
5-Feb-13,44.77,45.33,44.64,45.09,3671830
4-Feb-13,44.10,44.83,44.00,44.61,4660731
1-Feb-13,43.60,44.56,43.04,44.34,3447509
31-Jan-13,43.23,43.62,42.90,43.41,2937228
30-Jan-13,43.00,43.48,42.51,43.17,2131947
29-Jan-13,42.88,43.24,42.34,42.80,3688932
28-Jan-13,42.83,43.28,42.62,42.88,2433349
25-Jan-13,40.98,43.37,40.63,42.96,8780835
24-Jan-13,39.56,40.33,39.53,39.99,4242726
23-Jan-13,39.75,40.04,39.64,39.87,1921859
22-Jan-13,39.39,39.70,39.07,39.70,1827795
18-Jan-13,39.47,39.75,39.30,39.55,1888257
17-Jan-13,39.29,39.86,39.25,39.41,2693108
16-Jan-13,39.30,39.38,38.76,39.25,2130446
15-Jan-13,38.16,39.36,38.02,39.36,2743479
14-Jan-13,38.02,38.63,37.57,38.38,4501735
11-Jan-13,38.70,38.80,37.55,38.00,8108324
10-Jan-13,39.82,39.90,38.80,38.87,4247012
9-Jan-13,39.95,40.06,39.48,39.56,4099266
8-Jan-13,39.94,40.00,39.45,39.89,2926727
7-Jan-13,39.88,40.10,39.59,40.06,2949976
4-Jan-13,39.94,40.08,39.44,40.04,3864034
3-Jan-13,39.81,40.17,39.60,40.03,2608322
2-Jan-13,39.35,39.87,39.20,39.85,3198070
31-Dec-12,38.01,39.02,37.87,38.82,2720582
