Gross Margin % 2009,39.4
Gross Margin % 2010,40.5
Gross Margin % YoY % change,-1.100
Operating Margin % 2009,28.2
Operating Margin % 2010,31.2
Operating Margin % YoY % change,-3.000
Earnings Per Share USD 2009,15.15
Earnings Per Share USD 2010,27.68
Earnings Per Share USD YoY % change,-12.530
Book Value Per Share USD 2009,52.18
Book Value Per Share USD 2010,82.45
Book Value Per Share USD YoY % change,-30.270
SG&A 2009,8.46
SG&A 2010,7.02
SG&A YoY % change,1.440
R&D 2009,2.73
R&D 2010,2.24
R&D YoY % change,0.490
Return on Assets % 2009,22.84
Return on Assets % 2010,27.07
Return on Assets % YoY % change,-4.230
Return on Equity % 2009,35.28
Return on Equity % 2010,41.67
Return on Equity % YoY % change,-6.390
Return on Invested Capital % 2009,35.28
Return on Invested Capital % 2010,41.67
Return on Invested Capital % YoY % change,-6.390
Cap Ex as a % of Sales 2009,3.25
Cap Ex as a % of Sales 2010,6.88
Cap Ex as a % of Sales YoY % change,-3.630
Total Current Assets 2009,55.44
Total Current Assets 2010,38.66
Total Current Assets YoY % change,16.780
Total Current Liabilities 2009,27.56
Total Current Liabilities 2010,24.04
Total Current Liabilities YoY % change,3.520
Current Ratio 2009,2.01
Current Ratio 2010,1.61
Current Ratio YoY % change,0.400
Quick Ratio 2009,1.72
Quick Ratio 2010,1.35
Quick Ratio YoY % change,0.370
