Accumulator Distribution,-3289149.474
1 Day % price movement,0.000
7 Day % price movement,-0.300
14 Day % price movement,-0.880
30 Day % price movement,-0.580
60 Day % price movement,-2.940
90 Day % price movement,-4.170
7 Day Simple Moving Average,28.177
14 Day Simple Moving Average,27.767
30 Day Simple Moving Average,27.395
60 Day Simple Moving Average,27.560
90 Day Simple Moving Average,26.648
180 Day Simple Moving Average,28.744
1 Day % Rate of change,0.000
7 Day % Rate of change,1.061
14 Day % Rate of change,3.113
30 Day % Rate of change,2.052
60 Day % Rate of change,10.400
90 Day % Rate of change,14.751
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-138.875
7 day force index,-433.985
14 day force index,-234.352
30 day force index,-351.528
60 day force index,427.475
90 day force index,914.623
