Accumulator Distribution,-1518839.656
1 Day % price movement,0.000
7 Day % price movement,-0.360
14 Day % price movement,-2.240
30 Day % price movement,-3.980
60 Day % price movement,-5.220
90 Day % price movement,-5.250
7 Day Simple Moving Average,54.059
14 Day Simple Moving Average,52.908
30 Day Simple Moving Average,51.549
60 Day Simple Moving Average,51.466
90 Day Simple Moving Average,50.525
180 Day Simple Moving Average,51.340
1 Day % Rate of change,0.000
7 Day % Rate of change,0.667
14 Day % Rate of change,4.147
30 Day % Rate of change,7.369
60 Day % Rate of change,9.665
90 Day % Rate of change,9.720
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-569.827
7 day force index,-251.394
14 day force index,389.661
30 day force index,1034.906
60 day force index,1648.727
90 day force index,1949.876
