1 Day % price movement,2.801
7 Day % price movement,-0.883
14 Day % price movement,1.868
30 Day % price movement,8.301
60 Day % price movement,22.949
90 Day % price movement,42.696
7 Day Simple Moving Average,39.041
14 Day Simple Moving Average,38.996
30 Day Simple Moving Average,37.624
60 Day Simple Moving Average,36.069
90 Day Simple Moving Average,34.340
180 Day Simple Moving Average,31.620
1 Day % Rate of change,0.000
7 Day % Rate of change,-3.717
14 Day % Rate of change,-0.916
30 Day % Rate of change,5.079
60 Day % Rate of change,16.387
90 Day % Rate of change,27.958
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-879.830
7 day force index,-1960.978
14 day force index,-2300.235
30 day force index,-1755.933
60 day force index,-1125.885
90 day force index,-623.058
