Gross Margin % 2009,70.4
Gross Margin % 2010,67.7
Gross Margin % YoY % change,2.700
Operating Margin % 2009,24.8
Operating Margin % 2010,25.1
Operating Margin % YoY % change,-0.300
Earnings Per Share USD 2009,0.90
Earnings Per Share USD 2010,1.07
Earnings Per Share USD YoY % change,-0.170
Book Value Per Share USD 2009,11.67
Book Value Per Share USD 2010,12.02
Book Value Per Share USD YoY % change,-0.350
SG&A 2009,38.54
SG&A 2010,36.17
SG&A YoY % change,2.370
R&D 2009,5.35
R&D 2010,4.52
R&D YoY % change,0.830
Return on Assets % 2009,7.71
Return on Assets % 2010,8.55
Return on Assets % YoY % change,-0.840
Return on Equity % 2009,8.74
Return on Equity % 2010,9.27
Return on Equity % YoY % change,-0.530
Return on Invested Capital % 2009,8.27
Return on Invested Capital % 2010,9.27
Return on Invested Capital % YoY % change,-1.000
Cap Ex as a % of Sales 2009,18.76
Cap Ex as a % of Sales 2010,15.78
Cap Ex as a % of Sales YoY % change,2.980
Total Current Assets 2009,36.49
Total Current Assets 2010,47.84
Total Current Assets YoY % change,-11.350
Total Current Liabilities 2009,6.17
Total Current Liabilities 2010,6.33
Total Current Liabilities YoY % change,-0.160
Current Ratio 2009,5.91
Current Ratio 2010,7.56
Current Ratio YoY % change,-1.650
Quick Ratio 2009,5.39
Quick Ratio 2010,7.14
Quick Ratio YoY % change,-1.750
