1 Day % price movement,2.572
7 Day % price movement,-1.086
14 Day % price movement,-4.775
30 Day % price movement,-1.025
60 Day % price movement,7.149
90 Day % price movement,3.076
7 Day Simple Moving Average,47.927
14 Day Simple Moving Average,48.945
30 Day Simple Moving Average,50.424
60 Day Simple Moving Average,49.599
90 Day Simple Moving Average,49.590
180 Day Simple Moving Average,45.353
1 Day % Rate of change,0.000
7 Day % Rate of change,-3.698
14 Day % Rate of change,-7.715
30 Day % Rate of change,-3.634
60 Day % Rate of change,4.272
90 Day % Rate of change,0.489
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-1410.545
7 day force index,-5149.608
14 day force index,-7545.295
30 day force index,-7721.613
60 day force index,-7329.795
90 day force index,-7229.042
