Accumulator Distribution,-1512645.158
1 Day % price movement,0.000
7 Day % price movement,-1.400
14 Day % price movement,-1.520
30 Day % price movement,-1.750
60 Day % price movement,-4.150
90 Day % price movement,-1.090
7 Day Simple Moving Average,37.181
14 Day Simple Moving Average,35.884
30 Day Simple Moving Average,35.898
60 Day Simple Moving Average,36.225
90 Day Simple Moving Average,35.971
180 Day Simple Moving Average,39.826
1 Day % Rate of change,0.000
7 Day % Rate of change,3.774
14 Day % Rate of change,4.097
30 Day % Rate of change,4.717
60 Day % Rate of change,11.186
90 Day % Rate of change,2.938
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-590.772
7 day force index,159.668
14 day force index,642.664
30 day force index,768.403
60 day force index,1209.486
90 day force index,1242.916
