Gross Margin % 2009,38.9
Gross Margin % 2010,41.5
Gross Margin % YoY % change,-2.600
Operating Margin % 2009,14.5
Operating Margin % 2010,22.8
Operating Margin % YoY % change,-8.300
Earnings Per Share USD 2009,0.70
Earnings Per Share USD 2010,1.45
Earnings Per Share USD YoY % change,-0.750
Book Value Per Share USD 2009,5.64
Book Value Per Share USD 2010,6.74
Book Value Per Share USD YoY % change,-1.100
SG&A 2009,9.86
SG&A 2010,8.57
SG&A YoY % change,1.290
R&D 2009,11.98
R&D 2010,10.63
R&D YoY % change,1.350
Return on Assets % 2009,9.14
Return on Assets % 2010,15.53
Return on Assets % YoY % change,-6.390
Return on Equity % 2009,12.82
Return on Equity % 2010,23.58
Return on Equity % YoY % change,-10.760
Return on Invested Capital % 2009,12.28
Return on Invested Capital % 2010,20.32
Return on Invested Capital % YoY % change,-8.040
Cap Ex as a % of Sales 2009,1.77
Cap Ex as a % of Sales 2010,1.99
Cap Ex as a % of Sales YoY % change,-0.220
Total Current Assets 2009,61.82
Total Current Assets 2010,74.71
Total Current Assets YoY % change,-12.890
Total Current Liabilities 2009,26.39
Total Current Liabilities 2010,20.16
Total Current Liabilities YoY % change,6.230
Current Ratio 2009,2.34
Current Ratio 2010,3.71
Current Ratio YoY % change,-1.370
Quick Ratio 2009,1.53
Quick Ratio 2010,2.78
Quick Ratio YoY % change,-1.250
