Gross Margin % 2009,76.6
Gross Margin % 2010,73.8
Gross Margin % YoY % change,2.800
Operating Margin % 2009,25.8
Operating Margin % 2010,25.0
Operating Margin % YoY % change,0.800
Earnings Per Share USD 2009,2.50
Earnings Per Share USD 2010,2.32
Earnings Per Share USD YoY % change,0.180
Book Value Per Share USD 2009,9.38
Book Value Per Share USD 2010,8.80
Book Value Per Share USD YoY % change,0.580
SG&A 2009,39.92
SG&A 2010,39.22
SG&A YoY % change,0.700
R&D 2009,8.55
R&D 2010,7.61
R&D YoY % change,0.940
Return on Assets % 2009,10.58
Return on Assets % 2010,8.58
Return on Assets % YoY % change,2.000
Return on Equity % 2009,29.91
Return on Equity % 2010,25.80
Return on Equity % YoY % change,4.110
Return on Invested Capital % 2009,23.57
Return on Invested Capital % 2010,17.97
Return on Invested Capital % YoY % change,5.600
Cap Ex as a % of Sales 2009,6.67
Cap Ex as a % of Sales 2010,7.32
Cap Ex as a % of Sales YoY % change,-0.650
Total Current Assets 2009,50.55
Total Current Assets 2010,44.83
Total Current Assets YoY % change,5.720
Total Current Liabilities 2009,31.00
Total Current Liabilities 2010,29.06
Total Current Liabilities YoY % change,1.940
Current Ratio 2009,1.63
Current Ratio 2010,1.54
Current Ratio YoY % change,0.090
Quick Ratio 2009,1.50
Quick Ratio 2010,1.41
Quick Ratio YoY % change,0.090
