Accumulator Distribution,145382.000
1 Day % price movement,0.000
7 Day % price movement,0.220
14 Day % price movement,1.080
30 Day % price movement,3.480
60 Day % price movement,8.060
90 Day % price movement,6.520
7 Day Simple Moving Average,32.827
14 Day Simple Moving Average,33.197
30 Day Simple Moving Average,34.035
60 Day Simple Moving Average,35.561
90 Day Simple Moving Average,36.966
180 Day Simple Moving Average,43.542
1 Day % Rate of change,0.000
7 Day % Rate of change,-0.671
14 Day % Rate of change,-3.295
30 Day % Rate of change,-10.616
60 Day % Rate of change,-24.588
90 Day % Rate of change,-19.890
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,222.434
7 day force index,-830.858
14 day force index,-1458.908
30 day force index,-2108.221
60 day force index,-2699.471
90 day force index,-2959.932
