Gross Margin % 2009,51.8
Gross Margin % 2010,50.9
Gross Margin % YoY % change,-1.737
Operating Margin % 2009,15.9
Operating Margin % 2010,12.9
Operating Margin % YoY % change,-18.868
Earnings Per Share USD 2009,1.99
Earnings Per Share USD 2010,1.65
Earnings Per Share USD YoY % change,-17.085
Book Value Per Share USD 2009,10.82
Book Value Per Share USD 2010,12.10
Book Value Per Share USD YoY % change,11.830
SG&A 2009,8.66
SG&A 2010,9.23
SG&A YoY % change,6.582
R&D 2009,25.85
R&D 2010,26.84
R&D YoY % change,3.830
Return on Assets % 2009,16.55
Return on Assets % 2010,10.92
Return on Assets % YoY % change,-34.018
Return on Equity % 2009,22.26
Return on Equity % 2010,15.02
Return on Equity % YoY % change,-32.525
Return on Invested Capital % 2009,19.47
Return on Invested Capital % 2010,13.02
Return on Invested Capital % YoY % change,-33.128
Cap Ex as a % of Sales 2009,1.60
Cap Ex as a % of Sales 2010,2.21
Cap Ex as a % of Sales YoY % change,38.125
Total Current Assets 2009,52.66
Total Current Assets 2010,63.63
Total Current Assets YoY % change,20.832
Total Current Liabilities 2009,16.00
Total Current Liabilities 2010,12.16
Total Current Liabilities YoY % change,-24.000
Current Ratio 2009,3.29
Current Ratio 2010,5.23
Current Ratio YoY % change,58.967
Quick Ratio 2009,2.74
Quick Ratio 2010,4.74
Quick Ratio YoY % change,72.993
