1 Day % price movement,3.485
7 Day % price movement,0.797
14 Day % price movement,-5.060
30 Day % price movement,18.003
60 Day % price movement,30.194
90 Day % price movement,21.747
7 Day Simple Moving Average,33.410
14 Day Simple Moving Average,33.904
30 Day Simple Moving Average,34.795
60 Day Simple Moving Average,31.244
90 Day Simple Moving Average,30.466
180 Day Simple Moving Average,26.725
1 Day % Rate of change,0.000
7 Day % Rate of change,-2.667
14 Day % Rate of change,-9.000
30 Day % Rate of change,12.303
60 Day % Rate of change,20.515
90 Day % Rate of change,15.000
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-482.418
7 day force index,-7557.878
14 day force index,-15899.685
30 day force index,-10412.183
60 day force index,-7015.158
90 day force index,-5839.265
