Gross Margin % 2009,19.4
Gross Margin % 2010,6.1
Gross Margin % YoY % change,13.300
Operating Margin % 2009,6.0
Operating Margin % 2010,-27.4
Operating Margin % YoY % change,33.400
Earnings Per Share USD 2009,4.73
Earnings Per Share USD 2010,-27.37
Earnings Per Share USD YoY % change,32.100
Book Value Per Share USD 2009,48.38
Book Value Per Share USD 2010,17.91
Book Value Per Share USD YoY % change,30.470
SG&A 2009,6.02
SG&A 2010,7.19
SG&A YoY % change,-1.170
Return on Assets % 2009,4.54
Return on Assets % 2010,-31.07
Return on Assets % YoY % change,35.610
Return on Equity % 2009,10.61
Return on Equity % 2010,-82.51
Return on Equity % YoY % change,93.120
Return on Invested Capital % 2009,6.06
Return on Invested Capital % 2010,-56.57
Return on Invested Capital % YoY % change,62.630
Cap Ex as a % of Sales 2009,6.02
Cap Ex as a % of Sales 2010,6.14
Cap Ex as a % of Sales YoY % change,-0.120
Total Current Assets 2009,46.88
Total Current Assets 2010,43.64
Total Current Assets YoY % change,3.240
Total Current Liabilities 2009,25.92
Total Current Liabilities 2010,40.54
Total Current Liabilities YoY % change,-14.620
Current Ratio 2009,1.81
Current Ratio 2010,1.08
Current Ratio YoY % change,0.730
Quick Ratio 2009,1.33
Quick Ratio 2010,0.96
Quick Ratio YoY % change,0.370
