1 Day % price movement,2.500
7 Day % price movement,4.031
14 Day % price movement,8.378
30 Day % price movement,10.019
60 Day % price movement,10.763
90 Day % price movement,26.783
7 Day Simple Moving Average,49.360
14 Day Simple Moving Average,48.781
30 Day Simple Moving Average,47.453
60 Day Simple Moving Average,47.883
90 Day Simple Moving Average,46.374
180 Day Simple Moving Average,47.205
1 Day % Rate of change,0.000
7 Day % Rate of change,1.472
14 Day % Rate of change,5.423
30 Day % Rate of change,6.835
60 Day % Rate of change,7.460
90 Day % Rate of change,19.153
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,0.000
7 day force index,596.587
14 day force index,1150.879
30 day force index,1588.303
60 day force index,1786.980
90 day force index,2042.143
