Gross Margin % 2009,42.2
Gross Margin % 2010,42.2
Gross Margin % YoY % change,0.000
Operating Margin % 2009,18.8
Operating Margin % 2010,18.6
Operating Margin % YoY % change,0.200
Earnings Per Share USD 2009,2.37
Earnings Per Share USD 2010,2.85
Earnings Per Share USD YoY % change,-0.480
Book Value Per Share USD 2009,11.79
Book Value Per Share USD 2010,13.08
Book Value Per Share USD YoY % change,-1.290
SG&A 2009,21.17
SG&A 2010,21.71
SG&A YoY % change,-0.540
Return on Assets % 2009,18.52
Return on Assets % 2010,17.51
Return on Assets % YoY % change,1.010
Return on Equity % 2009,23.52
Return on Equity % 2010,23.45
Return on Equity % YoY % change,0.070
Return on Invested Capital % 2009,23.52
Return on Invested Capital % 2010,23.45
Return on Invested Capital % YoY % change,0.070
Cap Ex as a % of Sales 2009,4.04
Cap Ex as a % of Sales 2010,4.71
Cap Ex as a % of Sales YoY % change,-0.670
Total Current Assets 2009,76.77
Total Current Assets 2010,74.17
Total Current Assets YoY % change,2.600
Total Current Liabilities 2009,20.31
Total Current Liabilities 2010,21.96
Total Current Liabilities YoY % change,-1.650
Current Ratio 2009,3.78
Current Ratio 2010,3.38
Current Ratio YoY % change,0.400
Quick Ratio 2009,3.48
Quick Ratio 2010,3.10
Quick Ratio YoY % change,0.380
