1 Day % price movement,2.824
7 Day % price movement,3.488
14 Day % price movement,7.228
30 Day % price movement,16.530
60 Day % price movement,17.201
90 Day % price movement,29.529
7 Day Simple Moving Average,73.311
14 Day Simple Moving Average,72.167
30 Day Simple Moving Average,69.662
60 Day Simple Moving Average,67.274
90 Day Simple Moving Average,65.718
180 Day Simple Moving Average,59.481
1 Day % Rate of change,0.000
7 Day % Rate of change,0.641
14 Day % Rate of change,4.107
30 Day % Rate of change,11.761
60 Day % Rate of change,12.266
90 Day % Rate of change,20.617
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-713.366
7 day force index,-428.020
14 day force index,538.267
30 day force index,2242.241
60 day force index,2939.394
90 day force index,3550.620
