Gross Margin % 2009,88.1
Gross Margin % 2010,87.2
Gross Margin % YoY % change,0.900
Operating Margin % 2009,17.1
Operating Margin % 2010,18.9
Operating Margin % YoY % change,-1.800
Earnings Per Share USD 2009,1.46
Earnings Per Share USD 2010,1.87
Earnings Per Share USD YoY % change,-0.410
Book Value Per Share USD 2009,13.62
Book Value Per Share USD 2010,14.64
Book Value Per Share USD YoY % change,-1.020
SG&A 2009,52.74
SG&A 2010,51.99
SG&A YoY % change,0.750
R&D 2009,17.42
R&D 2010,15.58
R&D YoY % change,1.840
Return on Assets % 2009,8.16
Return on Assets % 2010,9.13
Return on Assets % YoY % change,-0.970
Return on Equity % 2009,11.69
Return on Equity % 2010,13.49
Return on Equity % YoY % change,-1.800
Return on Invested Capital % 2009,11.67
Return on Invested Capital % 2010,13.49
Return on Invested Capital % YoY % change,-1.820
Cap Ex as a % of Sales 2009,4.91
Cap Ex as a % of Sales 2010,5.77
Cap Ex as a % of Sales YoY % change,-0.860
Total Current Assets 2009,39.70
Total Current Assets 2010,33.49
Total Current Assets YoY % change,6.210
Total Current Liabilities 2009,27.54
Total Current Liabilities 2010,28.76
Total Current Liabilities YoY % change,-1.220
Current Ratio 2009,1.44
Current Ratio 2010,1.16
Current Ratio YoY % change,0.280
Quick Ratio 2009,1.25
Quick Ratio 2010,1.04
Quick Ratio YoY % change,0.210
