Accumulator Distribution,-266623.304
1 Day % price movement,0.000
7 Day % price movement,-2.260
14 Day % price movement,8.080
30 Day % price movement,11.730
60 Day % price movement,-5.080
90 Day % price movement,-5.640
7 Day Simple Moving Average,60.949
14 Day Simple Moving Average,62.758
30 Day Simple Moving Average,66.544
60 Day Simple Moving Average,67.168
90 Day Simple Moving Average,63.471
180 Day Simple Moving Average,69.687
1 Day % Rate of change,0.000
7 Day % Rate of change,3.722
14 Day % Rate of change,-13.307
30 Day % Rate of change,-19.318
60 Day % Rate of change,8.366
90 Day % Rate of change,9.289
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-841.560
7 day force index,-2646.842
14 day force index,-6223.473
30 day force index,-8695.555
60 day force index,-8291.742
90 day force index,-8026.210
