Accumulator Distribution,-5031380.316
1 Day % price movement,0.000
7 Day % price movement,0.070
14 Day % price movement,0.790
30 Day % price movement,0.290
60 Day % price movement,0.920
90 Day % price movement,0.050
7 Day Simple Moving Average,14.756
14 Day Simple Moving Average,14.919
30 Day Simple Moving Average,15.102
60 Day Simple Moving Average,15.392
90 Day Simple Moving Average,15.136
180 Day Simple Moving Average,15.514
1 Day % Rate of change,0.000
7 Day % Rate of change,-0.478
14 Day % Rate of change,-5.400
30 Day % Rate of change,-1.982
60 Day % Rate of change,-6.288
90 Day % Rate of change,-0.342
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-1129.774
7 day force index,-3389.321
14 day force index,-5909.585
30 day force index,-6452.745
60 day force index,-6860.116
90 day force index,-6873.695
