Gross Margin % 2009,48.9
Gross Margin % 2010,58.2
Gross Margin % YoY % change,-9.300
Operating Margin % 2009,-18.8
Operating Margin % 2010,-8.7
Operating Margin % YoY % change,-10.100
Earnings Per Share USD 2009,-2.08
Earnings Per Share USD 2010,-0.84
Earnings Per Share USD YoY % change,-1.240
Book Value Per Share USD 2009,8.27
Book Value Per Share USD 2010,7.70
Book Value Per Share USD YoY % change,0.570
SG&A 2009,28.74
SG&A 2010,29.20
SG&A YoY % change,-0.460
R&D 2009,33.63
R&D 2010,32.13
R&D YoY % change,1.500
Return on Assets % 2009,-14.52
Return on Assets % 2010,-5.77
Return on Assets % YoY % change,-8.750
Return on Equity % 2009,-23.09
Return on Equity % 2010,-10.43
Return on Equity % YoY % change,-12.660
Return on Invested Capital % 2009,-23.09
Return on Invested Capital % 2010,-10.43
Return on Invested Capital % YoY % change,-12.660
Cap Ex as a % of Sales 2009,8.35
Cap Ex as a % of Sales 2010,1.64
Cap Ex as a % of Sales YoY % change,6.710
Total Current Assets 2009,55.64
Total Current Assets 2010,61.53
Total Current Assets YoY % change,-5.890
Total Current Liabilities 2009,33.88
Total Current Liabilities 2010,40.60
Total Current Liabilities YoY % change,-6.720
Current Ratio 2009,1.64
Current Ratio 2010,1.52
Current Ratio YoY % change,0.120
Quick Ratio 2009,1.40
Quick Ratio 2010,1.29
Quick Ratio YoY % change,0.110
