Accumulator Distribution,-1813744.316
1 Day % price movement,0.000
7 Day % price movement,-0.300
14 Day % price movement,1.080
30 Day % price movement,1.720
60 Day % price movement,1.960
90 Day % price movement,-0.260
7 Day Simple Moving Average,20.617
14 Day Simple Moving Average,20.625
30 Day Simple Moving Average,21.452
60 Day Simple Moving Average,22.629
90 Day Simple Moving Average,22.317
180 Day Simple Moving Average,22.262
1 Day % Rate of change,0.000
7 Day % Rate of change,1.456
14 Day % Rate of change,-5.243
30 Day % Rate of change,-8.350
60 Day % Rate of change,-9.515
90 Day % Rate of change,1.262
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-527.053
7 day force index,-496.646
14 day force index,-1201.072
30 day force index,-1824.413
60 day force index,-1870.024
90 day force index,-1851.653
