1 Day % price movement,3.054
7 Day % price movement,0.385
14 Day % price movement,-5.284
30 Day % price movement,-6.183
60 Day % price movement,15.879
90 Day % price movement,23.834
7 Day Simple Moving Average,28.267
14 Day Simple Moving Average,29.119
30 Day Simple Moving Average,29.685
60 Day Simple Moving Average,28.932
90 Day Simple Moving Average,27.336
180 Day Simple Moving Average,24.604
1 Day % Rate of change,0.000
7 Day % Rate of change,-2.659
14 Day % Rate of change,-8.803
30 Day % Rate of change,-9.845
60 Day % Rate of change,11.067
90 Day % Rate of change,16.780
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-2124.208
7 day force index,-5027.291
14 day force index,-10089.986
30 day force index,-12134.536
60 day force index,-10638.740
90 day force index,-9541.232
