Gross Margin % 2009,59.0
Gross Margin % 2010,60.8
Gross Margin % YoY % change,3.051
Operating Margin % 2009,15.8
Operating Margin % 2010,17.2
Operating Margin % YoY % change,8.861
Earnings Per Share USD 2009,0.88
Earnings Per Share USD 2010,1.10
Earnings Per Share USD YoY % change,25.000
Book Value Per Share USD 2009,8.41
Book Value Per Share USD 2010,9.47
Book Value Per Share USD YoY % change,12.604
SG&A 2009,31.59
SG&A 2010,32.38
SG&A YoY % change,2.501
R&D 2009,11.10
R&D 2010,10.74
R&D YoY % change,-3.243
Return on Assets % 2009,6.59
Return on Assets % 2010,7.56
Return on Assets % YoY % change,14.719
Return on Equity % 2009,11.53
Return on Equity % 2010,13.54
Return on Equity % YoY % change,17.433
Return on Invested Capital % 2009,8.31
Return on Invested Capital % 2010,11.26
Return on Invested Capital % YoY % change,35.499
Cap Ex as a % of Sales 2009,6.51
Cap Ex as a % of Sales 2010,6.22
Cap Ex as a % of Sales YoY % change,-4.455
Total Current Assets 2009,31.73
Total Current Assets 2010,33.80
Total Current Assets YoY % change,6.524
Total Current Liabilities 2009,30.42
Total Current Liabilities 2010,30.28
Total Current Liabilities YoY % change,-0.460
Current Ratio 2009,1.04
Current Ratio 2010,1.12
Current Ratio YoY % change,7.692
Quick Ratio 2009,0.85
Quick Ratio 2010,0.89
Quick Ratio YoY % change,4.706
