Accumulator Distribution,-12241298.000
1 Day % price movement,0.000
7 Day % price movement,-0.010
14 Day % price movement,1.560
30 Day % price movement,1.830
60 Day % price movement,0.780
90 Day % price movement,-0.110
7 Day Simple Moving Average,21.609
14 Day Simple Moving Average,22.014
30 Day Simple Moving Average,22.523
60 Day Simple Moving Average,23.219
90 Day Simple Moving Average,22.682
180 Day Simple Moving Average,24.563
1 Day % Rate of change,0.000
7 Day % Rate of change,0.046
14 Day % Rate of change,-7.242
30 Day % Rate of change,-8.496
60 Day % Rate of change,-3.621
90 Day % Rate of change,0.511
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-918.097
7 day force index,-9180.974
14 day force index,-18407.852
30 day force index,-24536.152
60 day force index,-24616.485
90 day force index,-24427.128
