Accumulator Distribution,-775896.667
1 Day % price movement,0.000
7 Day % price movement,-3.990
14 Day % price movement,6.240
30 Day % price movement,0.980
60 Day % price movement,-20.370
90 Day % price movement,-32.660
7 Day Simple Moving Average,105.484
14 Day Simple Moving Average,106.238
30 Day Simple Moving Average,107.285
60 Day Simple Moving Average,102.749
90 Day Simple Moving Average,94.365
180 Day Simple Moving Average,97.581
1 Day % Rate of change,0.000
7 Day % Rate of change,3.760
14 Day % Rate of change,-5.880
30 Day % Rate of change,-0.923
60 Day % Rate of change,19.195
90 Day % Rate of change,30.776
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-819.347
7 day force index,-2341.656
14 day force index,-4348.125
30 day force index,-4853.234
60 day force index,-3482.806
90 day force index,-2546.493
