1 Day % price movement,2.702
7 Day % price movement,3.343
14 Day % price movement,0.788
30 Day % price movement,3.724
60 Day % price movement,5.435
90 Day % price movement,9.626
7 Day Simple Moving Average,27.471
14 Day Simple Moving Average,27.509
30 Day Simple Moving Average,27.614
60 Day Simple Moving Average,27.647
90 Day Simple Moving Average,27.449
180 Day Simple Moving Average,27.364
1 Day % Rate of change,0.000
7 Day % Rate of change,0.621
14 Day % Rate of change,-1.899
30 Day % Rate of change,0.986
60 Day % Rate of change,2.592
90 Day % Rate of change,6.316
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-459.600
7 day force index,-246.214
14 day force index,-599.121
30 day force index,-467.807
60 day force index,-408.305
90 day force index,-328.286
