1 Day % price movement,1.605
7 Day % price movement,0.847
14 Day % price movement,0.592
30 Day % price movement,8.084
60 Day % price movement,9.961
90 Day % price movement,17.915
7 Day Simple Moving Average,58.949
14 Day Simple Moving Average,59.304
30 Day Simple Moving Average,58.114
60 Day Simple Moving Average,56.550
90 Day Simple Moving Average,55.339
180 Day Simple Moving Average,52.169
1 Day % Rate of change,0.000
7 Day % Rate of change,-0.751
14 Day % Rate of change,-1.008
30 Day % Rate of change,5.994
60 Day % Rate of change,7.599
90 Day % Rate of change,13.832
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-409.349
7 day force index,-679.283
14 day force index,-777.171
30 day force index,-463.484
60 day force index,-300.338
90 day force index,-146.090
