Gross Margin % 2009,64.5
Gross Margin % 2010,65.2
Gross Margin % YoY % change,-0.700
Operating Margin % 2009,35.4
Operating Margin % 2010,31.0
Operating Margin % YoY % change,4.400
Earnings Per Share USD 2009,26.31
Earnings Per Share USD 2010,29.76
Earnings Per Share USD YoY % change,-3.450
Book Value Per Share USD 2009,143.92
Book Value Per Share USD 2010,179.52
Book Value Per Share USD YoY % change,-35.600
SG&A 2009,16.24
SG&A 2010,19.29
SG&A YoY % change,-3.050
R&D 2009,12.83
R&D 2010,13.62
R&D YoY % change,-0.790
Return on Assets % 2009,17.30
Return on Assets % 2010,14.93
Return on Assets % YoY % change,2.370
Return on Equity % 2009,20.68
Return on Equity % 2010,18.66
Return on Equity % YoY % change,2.020
Return on Invested Capital % 2009,19.07
Return on Invested Capital % 2010,16.85
Return on Invested Capital % YoY % change,2.220
Cap Ex as a % of Sales 2009,13.70
Cap Ex as a % of Sales 2010,9.07
Cap Ex as a % of Sales YoY % change,4.630
Total Current Assets 2009,71.84
Total Current Assets 2010,72.70
Total Current Assets YoY % change,-0.860
Total Current Liabilities 2009,17.28
Total Current Liabilities 2010,12.28
Total Current Liabilities YoY % change,5.000
Current Ratio 2009,4.16
Current Ratio 2010,5.92
Current Ratio YoY % change,-1.760
Quick Ratio 2009,4.00
Quick Ratio 2010,5.70
Quick Ratio YoY % change,-1.700
