Gross Margin % 2009,23.8
Gross Margin % 2010,23.4
Gross Margin % YoY % change,0.400
Operating Margin % 2009,9.1
Operating Margin % 2010,7.6
Operating Margin % YoY % change,1.500
Earnings Per Share USD 2009,3.69
Earnings Per Share USD 2010,3.32
Earnings Per Share USD YoY % change,0.370
Book Value Per Share USD 2009,17.84
Book Value Per Share USD 2010,19.40
Book Value Per Share USD YoY % change,-1.560
SG&A 2009,9.99
SG&A 2010,10.58
SG&A YoY % change,-0.590
R&D 2009,2.35
R&D 2010,2.56
R&D YoY % change,-0.210
Return on Assets % 2009,7.32
Return on Assets % 2010,5.57
Return on Assets % YoY % change,1.750
Return on Equity % 2009,21.64
Return on Equity % 2010,17.89
Return on Equity % YoY % change,3.750
Return on Invested Capital % 2009,14.04
Return on Invested Capital % 2010,9.89
Return on Invested Capital % YoY % change,4.150
Cap Ex as a % of Sales 2009,3.28
Cap Ex as a % of Sales 2010,3.57
Cap Ex as a % of Sales YoY % change,-0.290
Total Current Assets 2009,43.52
Total Current Assets 2010,39.39
Total Current Assets YoY % change,4.130
Total Current Liabilities 2009,39.68
Total Current Liabilities 2010,38.95
Total Current Liabilities YoY % change,0.730
Current Ratio 2009,1.10
Current Ratio 2010,1.01
Current Ratio YoY % change,0.090
Quick Ratio 2009,0.78
Quick Ratio 2010,0.58
Quick Ratio YoY % change,0.200
