1 Day % price movement,1.520
7 Day % price movement,3.038
14 Day % price movement,2.617
30 Day % price movement,2.519
60 Day % price movement,4.729
90 Day % price movement,11.768
7 Day Simple Moving Average,41.996
14 Day Simple Moving Average,41.864
30 Day Simple Moving Average,42.359
60 Day Simple Moving Average,42.496
90 Day Simple Moving Average,41.592
180 Day Simple Moving Average,44.112
1 Day % Rate of change,0.000
7 Day % Rate of change,1.473
14 Day % Rate of change,1.069
30 Day % Rate of change,0.974
60 Day % Rate of change,3.064
90 Day % Rate of change,9.169
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-1195.745
7 day force index,-485.771
14 day force index,-1457.314
30 day force index,-401.695
60 day force index,233.544
90 day force index,1099.992
