1 Day % price movement,0.491
7 Day % price movement,1.048
14 Day % price movement,2.218
30 Day % price movement,2.161
60 Day % price movement,6.315
90 Day % price movement,17.730
7 Day Simple Moving Average,146.120
14 Day Simple Moving Average,145.533
30 Day Simple Moving Average,144.919
60 Day Simple Moving Average,143.578
90 Day Simple Moving Average,139.045
180 Day Simple Moving Average,133.540
1 Day % Rate of change,0.000
7 Day % Rate of change,0.552
14 Day % Rate of change,1.690
30 Day % Rate of change,1.635
60 Day % Rate of change,5.478
90 Day % Rate of change,14.643
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,267.294
7 day force index,1781.960
14 day force index,3222.377
30 day force index,5008.050
60 day force index,6663.787
90 day force index,8692.623
