Gross Margin % 2009,65.3
Gross Margin % 2010,62.5
Gross Margin % YoY % change,2.800
Operating Margin % 2009,35.7
Operating Margin % 2010,32.4
Operating Margin % YoY % change,3.300
Earnings Per Share USD 2009,2.01
Earnings Per Share USD 2010,2.39
Earnings Per Share USD YoY % change,-0.380
Book Value Per Share USD 2009,8.97
Book Value Per Share USD 2010,9.02
Book Value Per Share USD YoY % change,-0.050
SG&A 2009,14.46
SG&A 2010,14.20
SG&A YoY % change,0.260
R&D 2009,15.07
R&D 2010,15.46
R&D YoY % change,-0.390
Return on Assets % 2009,19.72
Return on Assets % 2010,19.27
Return on Assets % YoY % change,0.450
Return on Equity % 2009,25.16
Return on Equity % 2010,27.15
Return on Equity % YoY % change,-1.990
Return on Invested Capital % 2009,24.02
Return on Invested Capital % 2010,24.64
Return on Invested Capital % YoY % change,-0.620
Cap Ex as a % of Sales 2009,11.94
Cap Ex as a % of Sales 2010,19.93
Cap Ex as a % of Sales YoY % change,-7.990
Total Current Assets 2009,50.03
Total Current Assets 2010,36.38
Total Current Assets YoY % change,13.650
Total Current Liabilities 2009,14.76
Total Current Liabilities 2010,16.91
Total Current Liabilities YoY % change,-2.150
Current Ratio 2009,3.39
Current Ratio 2010,2.15
Current Ratio YoY % change,1.240
Quick Ratio 2009,2.65
Quick Ratio 2010,1.54
Quick Ratio YoY % change,1.110
