Accumulator Distribution,-21710081.000
1 Day % price movement,0.000
7 Day % price movement,-0.570
14 Day % price movement,-0.250
30 Day % price movement,0.090
60 Day % price movement,-2.220
90 Day % price movement,-4.450
7 Day Simple Moving Average,24.240
14 Day Simple Moving Average,23.859
30 Day Simple Moving Average,24.072
60 Day Simple Moving Average,24.031
90 Day Simple Moving Average,23.002
180 Day Simple Moving Average,22.505
1 Day % Rate of change,0.000
7 Day % Rate of change,2.351
14 Day % Rate of change,1.031
30 Day % Rate of change,-0.371
60 Day % Rate of change,9.155
90 Day % Rate of change,18.351
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-6513.024
7 day force index,-2062.458
14 day force index,-6187.373
30 day force index,-8059.868
60 day force index,-4803.355
90 day force index,-1723.238
