Gross Margin % 2009,82.5
Gross Margin % 2010,83.0
Gross Margin % YoY % change,-0.500
Operating Margin % 2009,25.0
Operating Margin % 2010,26.1
Operating Margin % YoY % change,-1.100
Earnings Per Share USD 2009,1.77
Earnings Per Share USD 2010,2.00
Earnings Per Share USD YoY % change,-0.230
Book Value Per Share USD 2009,8.98
Book Value Per Share USD 2010,8.61
Book Value Per Share USD YoY % change,0.370
SG&A 2009,38.32
SG&A 2010,38.04
SG&A YoY % change,0.280
R&D 2009,16.58
R&D 2010,16.46
R&D YoY % change,0.120
Return on Assets % 2009,11.45
Return on Assets % 2010,12.30
Return on Assets % YoY % change,-0.850
Return on Equity % 2009,21.35
Return on Equity % 2010,23.32
Return on Equity % YoY % change,-1.970
Return on Invested Capital % 2009,14.12
Return on Invested Capital % 2010,14.64
Return on Invested Capital % YoY % change,-0.520
Cap Ex as a % of Sales 2009,4.14
Cap Ex as a % of Sales 2010,5.92
Cap Ex as a % of Sales YoY % change,-1.780
Total Current Assets 2009,44.15
Total Current Assets 2010,44.11
Total Current Assets YoY % change,0.040
Total Current Liabilities 2009,23.49
Total Current Liabilities 2010,35.32
Total Current Liabilities YoY % change,-11.830
Current Ratio 2009,1.88
Current Ratio 2010,1.25
Current Ratio YoY % change,0.630
Quick Ratio 2009,1.74
Quick Ratio 2010,0.92
Quick Ratio YoY % change,0.820
