1 Day % price movement,1.075
7 Day % price movement,-0.160
14 Day % price movement,3.168
30 Day % price movement,3.382
60 Day % price movement,8.538
90 Day % price movement,16.972
7 Day Simple Moving Average,49.716
14 Day Simple Moving Average,49.367
30 Day Simple Moving Average,47.765
60 Day Simple Moving Average,47.604
90 Day Simple Moving Average,46.486
180 Day Simple Moving Average,41.786
1 Day % Rate of change,0.000
7 Day % Rate of change,-1.237
14 Day % Rate of change,2.028
30 Day % Rate of change,2.231
60 Day % Rate of change,6.876
90 Day % Rate of change,13.590
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-321.289
7 day force index,-866.083
14 day force index,-548.286
30 day force index,-242.713
60 day force index,139.691
90 day force index,428.676
