Gross Margin %,30.7,31.4,29.5,28.4,28.2,27.4,29.8,30.5,30.2,30.7,31.4,29.5,28.4,28.2,27.4,29.8,30.5
Operating Margin %,12.7,12.6,11.4,11.9,11.6,10.1,12.4,11.6,13.0,12.7,12.6,11.4,11.9,11.6,10.1,12.4,11.6
Earnings Per Share USD,3.40,2.66,2.44,2.65,1.97,1.59,1.56,1.22,3.84,3.40,2.66,2.44,2.65,1.97,1.59,1.56,1.22
Book Value Per Share USD,5.62,4.11,3.98,3.44,2.71,2.28,1.97,1.55,6.13,5.62,4.11,3.98,3.44,2.71,2.28,1.97,1.55
SG&A,17.97,18.73,17.04,16.40,16.42,17.56,17.96,18.72,17.18,17.97,18.73,17.04,16.40,16.42,17.56,17.96,18.72
Return on Assets %,15.95,14.19,12.90,14.62,12.33,10.59,11.10,9.56,15.76,15.95,14.19,12.90,14.62,12.33,10.59,11.10,9.56
Return on Equity %,67.84,62.24,58.59,73.49,62.82,54.21,59.36,60.97,63.64,67.84,62.24,58.59,73.49,62.82,54.21,59.36,60.97
Return on Invested Capital %,67.46,61.85,58.12,71.97,60.37,51.22,55.92,45.56,63.33,67.46,61.85,58.12,71.97,60.37,51.22,55.92,45.56
Cap Ex as a % of Sales,1.48,1.03,1.05,1.27,1.70,1.68,1.86,1.87,1.25,1.48,1.03,1.05,1.27,1.70,1.68,1.86,1.87
Total Current Assets,72.92,74.51,73.36,73.87,74.17,78.08,74.63,76.32,75.53,72.92,74.51,73.36,73.87,74.17,78.08,74.63,76.32
Total Current Liabilities,50.26,51.17,50.19,55.23,64.79,61.76,54.28,55.25,48.66,50.26,51.17,50.19,55.23,64.79,61.76,54.28,55.25
Current Ratio,1.45,1.46,1.46,1.34,1.14,1.26,1.37,1.38,1.55,1.45,1.46,1.46,1.34,1.14,1.26,1.37,1.38
Quick Ratio,1.31,1.29,1.29,1.19,1.04,1.15,1.25,1.25,1.37,1.31,1.29,1.29,1.19,1.04,1.15,1.25,1.25
