Gross Margin %,89.6,89.4,89.9,89.9,88.8,88.6,94.3,93.7,89.0,89.6,89.4,89.9,89.9,88.8,88.6,94.3,93.7
Operating Margin %,26.1,26.1,23.4,28.7,27.2,21.4,37.0,35.5,26.8,26.1,26.1,23.4,28.7,27.2,21.4,37.0,35.5
Earnings Per Share USD,1.65,1.47,0.73,1.59,1.21,0.83,1.19,0.91,1.66,1.65,1.47,0.73,1.59,1.21,0.83,1.19,0.91
Book Value Per Share USD,11.78,10.21,9.36,8.31,8.10,8.83,3.77,2.98,13.49,11.78,10.21,9.36,8.31,8.10,8.83,3.77,2.98
SG&A,42.70,42.83,43.47,39.85,39.88,42.80,38.65,39.55,44.31,42.70,42.83,43.47,39.85,39.88,42.80,38.65,39.55
R&D,17.50,17.90,19.18,18.49,19.42,20.96,18.58,18.68,16.87,17.50,17.90,19.18,18.49,19.42,20.96,18.58,18.68
Return on Assets %,9.72,10.05,5.90,15.12,12.40,12.04,27.41,25.64,8.78,9.72,10.05,5.90,15.12,12.40,12.04,27.41,25.64
Return on Equity %,15.18,15.37,8.31,19.24,14.77,14.42,36.67,35.69,13.38,15.18,15.37,8.31,19.24,14.77,14.42,36.67,35.69
Return on Invested Capital %,11.12,11.54,7.22,17.66,14.76,14.42,36.67,35.69,10.12,11.12,11.54,7.22,17.66,14.76,14.42,36.67,35.69
Cap Ex as a % of Sales,4.99,4.46,4.06,3.12,4.18,3.23,2.49,3.79,6.16,4.99,4.46,4.06,3.12,4.18,3.23,2.49,3.79
Total Current Assets,41.95,39.50,33.97,46.98,45.03,48.38,82.31,79.19,43.42,41.95,39.50,33.97,46.98,45.03,48.38,82.31,79.19
Total Current Liabilities,13.91,13.12,11.60,13.10,14.92,11.36,19.69,23.05,12.75,13.91,13.12,11.60,13.10,14.92,11.36,19.69,23.05
Current Ratio,3.02,3.01,2.93,3.59,3.02,4.26,4.18,3.44,3.41,3.02,3.01,2.93,3.59,3.02,4.26,4.18,3.44
Quick Ratio,2.84,2.83,2.74,3.26,2.76,3.97,3.97,3.28,3.27,2.84,2.83,2.74,3.26,2.76,3.97,3.97,3.28
