Gross Margin %,89.7,89.9,88.8,90.5,90.5,88.2,88.8,86.3,89.7,89.7,89.9,88.8,90.5,90.5,88.2,88.8,86.3
Operating Margin %,16.0,13.9,3.8,10.6,20.5,19.0,24.3,19.0,13.2,16.0,13.9,3.8,10.6,20.5,19.0,24.3,19.0
Earnings Per Share USD,1.22,0.90,0.25,0.80,1.47,1.19,1.33,0.90,1.07,1.22,0.90,0.25,0.80,1.47,1.19,1.33,0.90
Book Value Per Share USD,8.34,7.09,6.41,5.79,5.33,4.82,3.48,2.82,9.14,8.34,7.09,6.41,5.79,5.33,4.82,3.48,2.82
SG&A,48.10,50.05,54.25,47.79,47.61,47.14,44.70,45.66,48.61,48.10,50.05,54.25,47.79,47.61,47.14,44.70,45.66
R&D,25.57,25.42,26.70,24.88,22.34,22.08,19.80,19.40,25.95,25.57,25.42,26.70,24.88,22.34,22.08,19.80,19.40
Return on Assets %,9.49,8.10,2.38,7.93,17.78,18.35,26.28,20.52,6.57,9.49,8.10,2.38,7.93,17.78,18.35,26.28,20.52
Return on Equity %,16.34,13.75,4.17,14.45,30.37,30.39,45.70,34.89,12.60,16.34,13.75,4.17,14.45,30.37,30.39,45.70,34.89
Return on Invested Capital %,16.34,13.75,4.09,13.88,30.37,30.39,45.70,34.89,12.60,16.34,13.75,4.09,13.88,30.37,30.39,45.70,34.89
Cap Ex as a % of Sales,2.84,1.45,2.28,3.39,1.99,1.92,1.35,3.31,2.44,2.84,1.45,2.28,3.39,1.99,1.92,1.35,3.31
Total Current Assets,58.74,61.50,56.37,57.34,67.08,66.19,54.28,68.45,59.24,58.74,61.50,56.37,57.34,67.08,66.19,54.28,68.45
Total Current Liabilities,29.56,31.20,28.77,33.05,33.80,31.94,37.25,41.80,24.22,29.56,31.20,28.77,33.05,33.80,31.94,37.25,41.80
Current Ratio,1.99,1.97,1.96,1.73,1.99,2.07,1.46,1.64,2.45,1.99,1.97,1.96,1.73,1.99,2.07,1.46,1.64
Quick Ratio,1.89,1.83,1.82,1.62,1.79,1.88,1.24,1.53,2.35,1.89,1.83,1.82,1.62,1.79,1.88,1.24,1.53
