Gross Margin %,67.7,70.4,70.9,71.9,73.7,78.0,80.3,78.0,68.6,67.7,70.4,70.9,71.9,73.7,78.0,80.3,78.0
Operating Margin %,25.1,24.8,26.0,26.8,22.8,19.4,25.9,23.3,22.9,25.1,24.8,26.0,26.8,22.8,19.4,25.9,23.3
Earnings Per Share USD,1.07,0.90,0.78,0.79,0.56,0.34,2.11,0.25,1.12,1.07,0.90,0.78,0.79,0.56,0.34,2.11,0.25
Book Value Per Share USD,12.02,11.67,10.15,9.28,8.18,6.10,4.11,-1.00,13.19,12.02,11.67,10.15,9.28,8.18,6.10,4.11,-1.00
SG&A,36.17,38.54,37.86,37.98,42.21,48.96,46.23,48.91,38.68,36.17,38.54,37.86,37.98,42.21,48.96,46.23,48.91
R&D,4.52,5.35,5.08,4.96,6.94,7.72,6.38,5.78,5.44,4.52,5.35,5.08,4.96,6.94,7.72,6.38,5.78
Return on Assets %,8.55,7.71,7.35,8.21,6.95,5.37,61.07,14.89,8.25,8.55,7.71,7.35,8.21,6.95,5.37,61.07,14.89
Return on Equity %,9.27,8.74,8.82,9.92,8.73,7.27,131.65,,9.06,9.27,8.74,8.82,9.92,8.73,7.27,131.65,
Return on Invested Capital %,9.27,8.27,7.38,8.56,7.22,5.48,67.44,,9.06,9.27,8.27,7.38,8.56,7.22,5.48,67.44,
Cap Ex as a % of Sales,15.78,18.76,12.58,14.59,15.79,16.17,9.52,5.88,16.00,15.78,18.76,12.58,14.59,15.79,16.17,9.52,5.88
Total Current Assets,47.84,36.49,36.46,26.68,41.97,30.02,39.82,59.47,28.01,47.84,36.49,36.46,26.68,41.97,30.02,39.82,59.47
Total Current Liabilities,6.33,6.17,15.68,5.34,5.34,7.15,6.94,25.59,7.80,6.33,6.17,15.68,5.34,5.34,7.15,6.94,25.59
Current Ratio,7.56,5.91,2.33,5.00,7.86,4.20,5.74,2.32,3.59,7.56,5.91,2.33,5.00,7.86,4.20,5.74,2.32
Quick Ratio,7.14,5.39,2.20,4.68,7.53,3.99,5.57,2.16,3.23,7.14,5.39,2.20,4.68,7.53,3.99,5.57,2.16
