Gross Margin %,41.5,38.9,28.5,42.4,46.1,46.8,44.1,46.2,38.0,41.5,38.9,28.5,42.4,46.1,46.8,44.1,46.2
Operating Margin %,22.8,14.5,-7.9,16.4,24.4,15.8,20.7,22.0,4.7,22.8,14.5,-7.9,16.4,24.4,15.8,20.7,22.0
Earnings Per Share USD,1.45,0.70,-0.23,0.70,1.20,0.97,0.73,0.78,0.09,1.45,0.70,-0.23,0.70,1.20,0.97,0.73,0.78
Book Value Per Share USD,6.74,5.64,5.29,5.63,5.68,4.34,5.50,5.45,6.04,6.74,5.64,5.29,5.63,5.68,4.34,5.50,5.45
SG&A,8.57,9.86,14.65,11.87,9.78,9.89,9.97,9.38,12.34,8.57,9.86,14.65,11.87,9.78,9.89,9.97,9.38
R&D,10.63,11.98,18.63,13.58,11.73,12.57,13.45,12.38,14.19,10.63,11.98,18.63,13.58,11.73,12.57,13.45,12.38
Return on Assets %,15.53,9.14,-2.98,8.91,16.99,14.62,10.36,12.06,0.84,15.53,9.14,-2.98,8.91,16.99,14.62,10.36,12.06
Return on Equity %,23.58,12.82,-4.20,12.58,23.63,19.47,13.30,15.59,1.36,23.58,12.82,-4.20,12.58,23.63,19.47,13.30,15.59
Return on Invested Capital %,20.32,12.28,-4.26,12.08,22.32,18.19,12.39,14.30,0.47,20.32,12.28,-4.26,12.08,22.32,18.19,12.39,14.30
Cap Ex as a % of Sales,1.99,1.77,4.96,3.54,2.72,1.96,2.86,2.38,1.86,1.99,1.77,4.96,3.54,2.72,1.96,2.86,2.38
Total Current Assets,74.71,61.82,59.42,61.10,62.00,64.14,83.85,85.02,42.16,74.71,61.82,59.42,61.10,62.00,64.14,83.85,85.02
Total Current Liabilities,20.16,26.39,20.26,27.01,22.28,25.69,15.67,18.92,18.72,20.16,26.39,20.26,27.01,22.28,25.69,15.67,18.92
Current Ratio,3.71,2.34,2.93,2.26,2.78,2.50,5.35,4.49,2.25,3.71,2.34,2.93,2.26,2.78,2.50,5.35,4.49
Quick Ratio,2.78,1.53,1.77,1.33,1.86,1.61,4.28,3.61,1.39,2.78,1.53,1.77,1.33,1.86,1.61,4.28,3.61
