Gross Margin %,73.8,76.6,78.5,77.3,77.2,76.6,74.1,72.2,73.1,73.8,76.6,78.5,77.3,77.2,76.6,74.1,72.2
Operating Margin %,25.0,25.8,26.5,19.6,20.6,13.1,8.6,1.6,21.1,25.0,25.8,26.5,19.6,20.6,13.1,8.6,1.6
Earnings Per Share USD,2.32,2.50,2.17,1.25,1.57,1.03,0.47,0.34,2.13,2.32,2.50,2.17,1.25,1.57,1.03,0.47,0.34
Book Value Per Share USD,8.80,9.38,7.63,5.68,5.18,5.14,5.16,5.70,4.76,8.80,9.38,7.63,5.68,5.18,5.14,5.16,5.70
SG&A,39.22,39.92,39.90,39.49,42.55,45.62,49.13,52.69,42.05,39.22,39.92,39.90,39.49,42.55,45.62,49.13,52.69
R&D,7.61,8.55,10.23,11.86,12.09,13.33,14.19,15.21,7.93,7.61,8.55,10.23,11.86,12.09,13.33,14.19,15.21
Return on Assets %,8.58,10.58,10.37,6.76,9.50,6.67,3.13,2.37,6.91,8.58,10.58,10.37,6.76,9.50,6.67,3.13,2.37
Return on Equity %,25.80,29.91,33.34,23.31,30.69,20.10,8.64,6.08,29.24,25.80,29.91,33.34,23.31,30.69,20.10,8.64,6.08
Return on Invested Capital %,17.97,23.57,25.17,17.00,30.58,19.96,8.50,5.92,13.39,17.97,23.57,25.17,17.00,30.58,19.96,8.50,5.92
Cap Ex as a % of Sales,7.32,6.67,5.39,5.09,6.16,5.52,6.02,3.94,7.00,7.32,6.67,5.39,5.09,6.16,5.52,6.02,3.94
Total Current Assets,44.83,50.55,46.04,42.20,53.88,54.89,46.92,43.67,44.48,44.83,50.55,46.04,42.20,53.88,54.89,46.92,43.67
Total Current Liabilities,29.06,31.00,32.90,36.06,38.52,37.82,37.45,32.90,29.81,29.06,31.00,32.90,36.06,38.52,37.82,37.45,32.90
Current Ratio,1.54,1.63,1.40,1.17,1.40,1.45,1.25,1.33,1.49,1.54,1.63,1.40,1.17,1.40,1.45,1.25,1.33
Quick Ratio,1.41,1.50,1.30,1.06,1.28,1.31,1.13,1.17,1.34,1.41,1.50,1.30,1.06,1.28,1.31,1.13,1.17
