Gross Margin %,50.9,51.8,50.8,52.5,51.5,51.0,52.6,50.3,49.7,50.9,51.8,50.8,52.5,51.5,51.0,52.6,50.3
Operating Margin %,12.9,15.9,1.2,3.7,2.3,6.6,12.6,11.3,8.4,12.9,15.9,1.2,3.7,2.3,6.6,12.6,11.3
Earnings Per Share USD,1.65,1.99,0.13,0.41,0.37,0.64,0.73,0.42,1.25,1.65,1.99,0.13,0.41,0.37,0.64,0.73,0.42
Book Value Per Share USD,12.10,10.82,7.85,7.38,7.51,7.69,6.08,4.77,13.78,12.10,10.82,7.85,7.38,7.51,7.69,6.08,4.77
SG&A,9.23,8.66,13.31,11.66,13.05,13.74,9.83,11.92,8.69,9.23,8.66,13.31,11.66,13.05,13.74,9.83,11.92
R&D,26.84,25.85,34.18,32.15,35.71,30.45,24.36,20.62,28.95,26.84,25.85,34.18,32.15,35.71,30.45,24.36,20.62
Return on Assets %,10.92,16.55,1.37,4.65,4.39,8.79,12.41,8.92,7.10,10.92,16.55,1.37,4.65,4.39,8.79,12.41,8.92
Return on Equity %,15.02,22.26,1.74,5.62,5.19,10.33,14.94,11.35,10.01,15.02,22.26,1.74,5.62,5.19,10.33,14.94,11.35
Return on Invested Capital %,13.02,19.47,1.74,5.62,5.19,10.33,14.94,11.35,8.19,13.02,19.47,1.74,5.62,5.19,10.33,14.94,11.35
Cap Ex as a % of Sales,2.21,1.60,1.48,1.78,4.23,2.52,1.56,2.08,3.05,2.21,1.60,1.48,1.78,4.23,2.52,1.56,2.08
Total Current Assets,63.63,52.66,56.84,62.62,63.13,68.73,62.25,54.90,33.73,63.63,52.66,56.84,62.62,63.13,68.73,62.25,54.90
Total Current Liabilities,12.16,16.00,22.40,16.32,15.66,13.92,15.85,17.23,15.01,12.16,16.00,22.40,16.32,15.66,13.92,15.85,17.23
Current Ratio,5.23,3.29,2.54,3.84,4.03,4.94,3.93,3.19,2.25,5.23,3.29,2.54,3.84,4.03,4.94,3.93,3.19
Quick Ratio,4.74,2.74,2.12,3.17,3.56,4.51,3.43,2.79,1.85,4.74,2.74,2.12,3.17,3.56,4.51,3.43,2.79
