Gross Margin %,86.6,86.9,83.9,85.8,85.6,91.7,92.8,100.0,86.3,86.6,86.9,83.9,85.8,85.6,91.7,92.8,100.0
Operating Margin %,28.9,28.3,28.6,26.4,20.1,5.1,3.9,9.8,29.3,28.9,28.3,28.6,26.4,20.1,5.1,3.9,9.8
Earnings Per Share USD,1.93,1.61,1.47,1.29,0.93,0.22,0.27,0.02,2.07,1.93,1.61,1.47,1.29,0.93,0.22,0.27,0.02
Book Value Per Share USD,11.11,11.19,9.79,8.41,7.22,6.93,8.23,8.53,11.87,11.11,11.19,9.79,8.41,7.22,6.93,8.23,8.53
SG&A,38.55,39.22,39.15,39.29,44.19,50.49,52.45,53.51,36.21,38.55,39.22,39.15,39.29,44.19,50.49,52.45,53.51
R&D,10.59,10.63,10.93,11.38,12.06,18.06,18.36,19.55,10.55,10.59,10.63,10.93,11.38,12.06,18.06,18.36,19.55
Return on Assets %,7.79,6.82,6.68,6.03,4.48,1.12,1.48,0.10,8.02,7.79,6.82,6.68,6.03,4.48,1.12,1.48,0.10
Return on Equity %,17.26,15.60,16.53,17.24,13.52,2.82,3.34,0.23,17.61,17.26,15.60,16.53,17.24,13.52,2.82,3.34,0.23
Return on Invested Capital %,13.06,11.40,10.99,11.04,7.23,0.91,1.69,-1.31,13.52,13.06,11.40,10.99,11.04,7.23,0.91,1.69,-1.31
Cap Ex as a % of Sales,5.23,5.92,6.13,6.74,5.99,11.34,32.61,1.95,4.63,5.23,5.92,6.13,6.74,5.99,11.34,32.61,1.95
Total Current Assets,33.05,35.21,33.71,37.15,38.01,29.30,25.37,35.68,34.93,33.05,35.21,33.71,37.15,38.01,29.30,25.37,35.68
Total Current Liabilities,31.27,31.61,30.31,36.24,36.39,35.09,32.35,33.06,29.98,31.27,31.61,30.31,36.24,36.39,35.09,32.35,33.06
Current Ratio,1.06,1.11,1.11,1.03,1.04,0.83,0.78,1.08,1.17,1.06,1.11,1.11,1.03,1.04,0.83,0.78,1.08
Quick Ratio,0.95,1.01,0.98,0.87,0.88,0.72,0.70,1.03,1.03,0.95,1.01,0.98,0.87,0.88,0.72,0.70,1.03
