Gross Margin %,6.1,19.4,20.7,20.8,20.3,20.5,19.8,19.5,21.0,6.1,19.4,20.7,20.8,20.3,20.5,19.8,19.5
Operating Margin %,-27.4,6.0,6.4,5.7,5.6,4.1,5.6,5.1,4.0,-27.4,6.0,6.4,5.7,5.6,4.1,5.6,5.1
Earnings Per Share USD,-27.37,4.73,5.28,7.31,3.20,2.16,3.38,4.22,6.18,-27.37,4.73,5.28,7.31,3.20,2.16,3.38,4.22
Book Value Per Share USD,17.91,48.38,41.96,36.37,34.42,31.98,34.88,33.99,21.96,17.91,48.38,41.96,36.37,34.42,31.98,34.88,33.99
SG&A,7.19,6.02,6.14,6.47,5.91,6.17,5.76,5.75,7.97,7.19,6.02,6.14,6.47,5.91,6.17,5.76,5.75
Return on Assets %,-31.07,4.54,5.09,7.10,3.69,2.92,4.96,6.63,8.57,-31.07,4.54,5.09,7.10,3.69,2.92,4.96,6.63
Return on Equity %,-82.51,10.61,13.67,20.33,9.60,6.14,9.56,13.51,32.50,-82.51,10.61,13.67,20.33,9.60,6.14,9.56,13.51
Return on Invested Capital %,-56.57,6.06,6.17,9.64,5.20,3.54,6.96,8.90,13.90,-56.57,6.06,6.17,9.64,5.20,3.54,6.96,8.90
Cap Ex as a % of Sales,6.14,6.02,5.75,6.13,7.36,6.41,8.35,10.50,4.48,6.14,6.02,5.75,6.13,7.36,6.41,8.35,10.50
Total Current Assets,43.64,46.88,51.18,49.35,43.89,48.84,48.72,45.04,50.42,43.64,46.88,51.18,49.35,43.89,48.84,48.72,45.04
Total Current Liabilities,40.54,25.92,25.05,25.71,35.44,38.31,31.99,30.69,29.77,40.54,25.92,25.05,25.71,35.44,38.31,31.99,30.69
Current Ratio,1.08,1.81,2.04,1.92,1.24,1.28,1.52,1.47,1.69,1.08,1.81,2.04,1.92,1.24,1.28,1.52,1.47
Quick Ratio,0.96,1.33,1.61,1.51,0.92,1.00,1.22,1.17,1.57,0.96,1.33,1.61,1.51,0.92,1.00,1.22,1.17
