Gross Margin %,87.2,88.1,88.4,88.9,90.1,91.3,93.6,97.3,84.4,87.2,88.1,88.4,88.9,90.1,91.3,93.6,97.3
Operating Margin %,18.9,17.1,11.1,10.7,14.5,17.9,22.5,21.5,15.1,18.9,17.1,11.1,10.7,14.5,17.9,22.5,21.5
Earnings Per Share USD,1.87,1.46,1.03,0.96,1.14,0.97,0.93,0.75,1.86,1.87,1.46,1.03,0.96,1.14,0.97,0.93,0.75
Book Value Per Share USD,14.64,13.62,11.98,10.56,9.69,8.11,6.89,5.46,16.75,14.64,13.62,11.98,10.56,9.69,8.11,6.89,5.46
SG&A,51.99,52.74,56.92,58.50,58.88,58.10,57.11,59.92,50.50,51.99,52.74,56.92,58.50,58.88,58.10,57.11,59.92
R&D,15.58,17.42,17.47,18.20,14.74,13.69,11.96,11.65,17.42,15.58,17.42,17.47,18.20,14.74,13.69,11.96,11.65
Return on Assets %,9.13,8.16,6.60,6.82,9.41,9.88,11.21,10.00,7.93,9.13,8.16,6.60,6.82,9.41,9.88,11.21,10.00
Return on Equity %,13.49,11.69,9.30,9.49,12.99,13.72,15.63,16.12,12.05,13.49,11.69,9.30,9.49,12.99,13.72,15.63,16.12
Return on Invested Capital %,13.49,11.67,9.28,9.47,12.94,13.65,14.98,15.59,12.05,13.49,11.67,9.28,9.47,12.94,13.65,14.98,15.59
Cap Ex as a % of Sales,5.77,4.91,4.93,13.99,6.41,4.59,2.90,3.29,5.83,5.77,4.91,4.93,13.99,6.41,4.59,2.90,3.29
Total Current Assets,33.49,39.70,33.62,34.89,36.86,40.10,43.20,33.17,35.73,33.49,39.70,33.62,34.89,36.86,40.10,43.20,33.17
Total Current Liabilities,28.76,27.54,26.99,27.13,25.81,26.45,25.34,26.60,28.00,28.76,27.54,26.99,27.13,25.81,26.45,25.34,26.60
Current Ratio,1.16,1.44,1.25,1.29,1.43,1.52,1.71,1.25,1.28,1.16,1.44,1.25,1.29,1.43,1.52,1.71,1.25
Quick Ratio,1.04,1.25,1.08,1.10,1.23,1.32,1.51,1.00,1.16,1.04,1.25,1.08,1.10,1.23,1.32,1.51,1.00
