Gross Margin %,58.2,48.9,49.5,50.8,60.8,60.0,61.7,62.7,61.4,58.2,48.9,49.5,50.8,60.8,60.0,61.7,62.7
Operating Margin %,-8.7,-18.8,-19.6,-13.3,1.3,11.0,21.4,26.2,0.8,-8.7,-18.8,-19.6,-13.3,1.3,11.0,21.4,26.2
Earnings Per Share USD,-0.84,-2.08,-3.40,-1.45,0.24,0.75,1.59,1.87,0.23,-0.84,-2.08,-3.40,-1.45,0.24,0.75,1.59,1.87
Book Value Per Share USD,7.70,8.27,9.74,13.70,13.00,11.22,11.36,8.96,7.42,7.70,8.27,9.74,13.70,13.00,11.22,11.36,8.96
SG&A,29.20,28.74,24.29,25.29,24.39,21.89,19.56,18.78,29.64,29.20,28.74,24.29,25.29,24.39,21.89,19.56,18.78
R&D,32.13,33.63,32.26,31.24,33.68,25.69,20.23,17.28,29.25,32.13,33.63,32.26,31.24,33.68,25.69,20.23,17.28
Return on Assets %,-5.77,-14.52,-20.27,-8.10,1.59,5.39,12.97,20.04,1.46,-5.77,-14.52,-20.27,-8.10,1.59,5.39,12.97,20.04
Return on Equity %,-10.43,-23.09,-29.12,-10.85,2.04,6.83,16.32,25.87,3.03,-10.43,-23.09,-29.12,-10.85,2.04,6.83,16.32,25.87
Return on Invested Capital %,-10.43,-23.09,-29.12,-10.85,2.04,6.83,16.32,25.87,2.07,-10.43,-23.09,-29.12,-10.85,2.04,6.83,16.32,25.87
Cap Ex as a % of Sales,1.64,8.35,2.73,2.29,5.76,4.17,4.03,3.03,4.15,1.64,8.35,2.73,2.29,5.76,4.17,4.03,3.03
Total Current Assets,61.53,55.64,66.70,64.78,69.90,68.67,84.81,85.60,47.51,61.53,55.64,66.70,64.78,69.90,68.67,84.81,85.60
Total Current Liabilities,40.60,33.88,24.28,21.44,19.94,19.81,18.95,21.24,38.61,40.60,33.88,24.28,21.44,19.94,19.81,18.95,21.24
Current Ratio,1.52,1.64,2.75,3.02,3.51,3.47,4.48,4.03,1.23,1.52,1.64,2.75,3.02,3.51,3.47,4.48,4.03
Quick Ratio,1.29,1.40,2.32,2.56,3.15,3.03,4.10,3.64,1.04,1.29,1.40,2.32,2.56,3.15,3.03,4.10,3.64
