Gross Margin %,60.8,59.0,55.2,55.3,54.5,53.0,53.7,51.2,62.8,60.8,59.0,55.2,55.3,54.5,53.0,53.7,51.2
Operating Margin %,17.2,15.8,10.1,10.5,13.1,10.8,15.3,12.7,18.3,17.2,15.8,10.1,10.5,13.1,10.8,15.3,12.7
Earnings Per Share USD,1.10,0.88,0.53,0.64,0.77,0.54,0.47,0.36,1.23,1.10,0.88,0.53,0.64,0.77,0.54,0.47,0.36
Book Value Per Share USD,9.47,8.41,7.58,6.53,5.97,4.69,5.05,4.81,10.61,9.47,8.41,7.58,6.53,5.97,4.69,5.05,4.81
SG&A,32.38,31.59,32.77,30.93,29.57,29.16,26.97,27.54,32.26,32.38,31.59,32.77,30.93,29.57,29.16,26.97,27.54
R&D,10.74,11.10,11.60,11.57,11.54,11.24,10.40,10.30,11.79,10.74,11.10,11.60,11.57,11.54,11.24,10.40,10.30
Return on Assets %,7.56,6.59,4.29,5.83,8.15,6.92,7.04,5.90,7.56,7.56,6.59,4.29,5.83,8.15,6.92,7.04,5.90
Return on Equity %,13.54,11.53,7.61,10.53,14.58,10.93,9.61,7.78,13.23,13.54,11.53,7.61,10.53,14.58,10.93,9.61,7.78
Return on Invested Capital %,11.26,8.31,5.34,7.84,10.71,9.16,9.44,7.62,11.95,11.26,8.31,5.34,7.84,10.71,9.16,9.44,7.62
Cap Ex as a % of Sales,6.22,6.51,5.11,6.66,7.04,8.17,6.22,4.51,5.70,6.22,6.51,5.11,6.66,7.04,8.17,6.22,4.51
Total Current Assets,33.80,31.73,39.30,44.67,45.11,35.12,39.15,31.32,32.07,33.80,31.73,39.30,44.67,45.11,35.12,39.15,31.32
Total Current Liabilities,30.28,30.42,19.20,21.86,19.78,20.90,21.88,19.12,27.07,30.28,30.42,19.20,21.86,19.78,20.90,21.88,19.12
Current Ratio,1.12,1.04,2.05,2.04,2.28,1.68,1.79,1.64,1.18,1.12,1.04,2.05,2.04,2.28,1.68,1.79,1.64
Quick Ratio,0.89,0.85,1.71,1.74,1.91,1.30,1.45,1.31,0.93,0.89,0.85,1.71,1.74,1.91,1.30,1.45,1.31
