Gross Margin %,81.9,80.5,78.1,77.1,77.5,77.6,76.8,77.0,82.9,81.9,80.5,78.1,77.1,77.5,77.6,76.8,77.0
Operating Margin %,30.4,26.1,18.7,15.3,18.9,22.9,25.5,15.4,31.0,30.4,26.1,18.7,15.3,18.9,22.9,25.5,15.4
Earnings Per Share USD,2.96,1.86,1.14,0.89,0.90,0.80,0.67,0.46,3.45,2.96,1.86,1.14,0.89,0.90,0.80,0.67,0.46
Book Value Per Share USD,13.97,12.49,10.10,8.92,9.15,7.60,5.98,4.45,16.82,13.97,12.49,10.10,8.92,9.15,7.60,5.98,4.45
SG&A,39.44,41.01,42.94,45.09,42.77,42.28,40.16,47.38,39.02,39.44,41.01,42.94,45.09,42.77,42.28,40.16,47.38
R&D,12.06,13.41,15.87,15.90,13.13,12.48,11.14,14.23,12.88,12.06,13.41,15.87,15.90,13.13,12.48,11.14,14.23
Return on Assets %,16.47,12.44,9.12,7.89,9.20,10.42,11.49,12.90,15.82,16.47,12.44,9.12,7.89,9.20,10.42,11.49,12.90
Return on Equity %,22.89,16.77,12.07,9.99,11.10,12.22,13.40,15.76,22.60,22.89,16.77,12.07,9.99,11.10,12.22,13.40,15.76
Return on Invested Capital %,22.89,16.77,12.07,9.99,11.10,12.22,13.40,15.76,22.60,22.89,16.77,12.07,9.99,11.10,12.22,13.40,15.76
Cap Ex as a % of Sales,3.14,1.43,1.89,4.29,3.13,5.43,3.30,3.37,2.19,3.14,1.43,1.89,4.29,3.13,5.43,3.30,3.37
Total Current Assets,48.69,44.48,43.81,34.43,40.95,63.46,54.78,48.26,40.61,48.69,44.48,43.81,34.43,40.95,63.46,54.78,48.26
Total Current Liabilities,23.74,21.08,20.87,19.89,16.25,13.66,11.78,13.94,24.38,23.74,21.08,20.87,19.89,16.25,13.66,11.78,13.94
Current Ratio,2.05,2.11,2.10,1.73,2.52,4.65,4.65,3.46,1.67,2.05,2.11,2.10,1.73,2.52,4.65,4.65,3.46
Quick Ratio,1.90,1.88,1.90,1.54,2.28,4.39,4.39,3.23,1.54,1.90,1.88,1.90,1.54,2.28,4.39,4.39,3.23
