Gross Margin %,30.4,31.0,25.7,23.5,28.5,29.1,29.1,28.9,32.0,30.4,31.0,25.7,23.5,28.5,29.1,29.1,28.9
Operating Margin %,18.6,15.2,7.4,9.7,15.7,14.3,16.6,17.3,18.6,18.6,15.2,7.4,9.7,15.7,14.3,16.6,17.3
Earnings Per Share USD,1.53,1.15,0.44,1.11,2.86,1.37,1.53,1.75,1.55,1.53,1.15,0.44,1.11,2.86,1.37,1.53,1.75
Book Value Per Share USD,21.71,21.21,22.19,18.59,19.49,16.50,11.18,4.92,22.58,21.71,21.21,22.19,18.59,19.49,16.50,11.18,4.92
SG&A,11.69,12.82,14.70,11.30,10.60,12.23,11.59,11.57,13.46,11.69,12.82,14.70,11.30,10.60,12.23,11.59,11.57
Return on Assets %,3.35,2.87,0.98,2.48,6.44,6.02,13.76,13.10,3.37,3.35,2.87,0.98,2.48,6.44,6.02,13.76,13.10
Return on Equity %,7.28,5.50,1.79,5.87,16.21,14.39,34.32,39.85,7.02,7.28,5.50,1.79,5.87,16.21,14.39,34.32,39.85
Return on Invested Capital %,2.53,2.48,0.19,1.47,5.87,4.00,19.43,19.55,2.73,2.53,2.48,0.19,1.47,5.87,4.00,19.43,19.55
Cap Ex as a % of Sales,5.23,5.96,5.64,7.41,7.22,7.26,5.69,3.94,5.10,5.23,5.96,5.64,7.41,7.22,7.26,5.69,3.94
Total Current Assets,12.15,11.81,11.90,15.70,18.68,17.04,45.75,44.32,13.61,12.15,11.81,11.90,15.70,18.68,17.04,45.75,44.32
Total Current Liabilities,9.78,9.08,8.82,11.34,12.81,11.54,24.02,31.48,9.28,9.78,9.08,8.82,11.34,12.81,11.54,24.02,31.48
Current Ratio,1.24,1.30,1.35,1.38,1.46,1.48,1.90,1.41,1.47,1.24,1.30,1.35,1.38,1.46,1.48,1.90,1.41
Quick Ratio,1.10,1.14,1.11,1.11,1.21,1.16,1.83,1.05,1.33,1.10,1.14,1.11,1.11,1.21,1.16,1.83,1.05
