Gross Margin %,41.4,42.3,41.6,36.4,32.8,29.3,31.1,68.2,42.1,41.4,42.3,41.6,36.4,32.8,29.3,31.1,68.2
Operating Margin %,23.0,24.4,23.2,18.8,18.6,16.4,18.4,17.7,23.6,23.0,24.4,23.2,18.8,18.6,16.4,18.4,17.7
Earnings Per Share USD,3.28,3.27,3.06,3.49,2.60,2.53,2.70,1.91,4.44,3.28,3.27,3.06,3.49,2.60,2.53,2.70,1.91
Book Value Per Share USD,23.13,21.98,19.75,16.20,14.98,14.01,13.37,13.11,25.61,23.13,21.98,19.75,16.20,14.98,14.01,13.37,13.11
SG&A,18.42,17.90,18.42,17.58,14.15,12.97,12.71,45.58,18.50,18.42,17.90,18.42,17.58,14.15,12.97,12.71,45.58
Return on Assets %,5.61,5.95,5.38,5.37,4.86,7.35,7.16,4.84,7.17,5.61,5.95,5.38,5.37,4.86,7.35,7.16,4.84
Return on Equity %,14.55,15.86,16.94,22.49,17.95,18.40,20.53,15.85,18.31,14.55,15.86,16.94,22.49,17.95,18.40,20.53,15.85
Return on Invested Capital %,5.29,5.63,5.06,4.24,6.28,13.12,15.94,11.36,7.46,5.29,5.63,5.06,4.24,6.28,13.12,15.94,11.36
Cap Ex as a % of Sales,4.43,4.23,4.86,4.20,4.08,4.13,4.06,4.32,4.35,4.43,4.23,4.86,4.20,4.08,4.13,4.06,4.32
Total Current Assets,15.86,17.11,15.24,22.99,35.49,15.51,13.97,12.58,16.62,15.86,17.11,15.24,22.99,35.49,15.51,13.97,12.58
Total Current Liabilities,16.19,10.76,13.86,21.94,31.69,14.12,14.10,11.18,13.00,16.19,10.76,13.86,21.94,31.69,14.12,14.10,11.18
Current Ratio,0.98,1.59,1.10,1.05,1.12,1.10,0.99,1.13,1.28,0.98,1.59,1.10,1.05,1.12,1.10,0.99,1.13
Quick Ratio,0.72,1.27,0.79,0.41,0.30,0.90,0.87,1.02,0.92,0.72,1.27,0.79,0.41,0.30,0.90,0.87,1.02
