Gross Margin %,35.7,36.0,31.7,30.7,32.3,31.7,27.5,25.0,34.5,35.7,36.0,31.7,30.7,32.3,31.7,27.5,25.0
Operating Margin %,16.4,17.5,10.7,12.7,12.8,11.7,10.7,8.3,17.3,16.4,17.5,10.7,12.7,12.8,11.7,10.7,8.3
Earnings Per Share USD,4.60,4.28,0.28,3.26,3.43,1.71,1.46,1.00,0.26,4.60,4.28,0.28,3.26,3.43,1.71,1.46,1.00
Book Value Per Share USD,19.67,16.86,14.12,16.88,13.85,12.38,10.77,9.61,17.29,19.67,16.86,14.12,16.88,13.85,12.38,10.77,9.61
SG&A,19.31,18.42,15.81,17.96,19.58,20.01,16.75,16.72,17.26,19.31,18.42,15.81,17.96,19.58,20.01,16.75,16.72
Return on Assets %,10.78,12.21,0.84,9.91,12.73,8.50,8.64,6.17,0.52,10.78,12.21,0.84,9.91,12.73,8.50,8.64,6.17
Return on Equity %,25.07,27.67,1.83,21.26,26.94,15.34,14.88,10.79,1.38,25.07,27.67,1.83,21.26,26.94,15.34,14.88,10.79
Return on Invested Capital %,13.24,15.68,0.12,12.63,16.28,9.57,10.08,6.55,-1.03,13.24,15.68,0.12,12.63,16.28,9.57,10.08,6.55
Cap Ex as a % of Sales,5.48,3.80,2.43,2.75,3.04,4.21,2.50,2.64,4.29,5.48,3.80,2.43,2.75,3.04,4.21,2.50,2.64
Total Current Assets,35.91,42.15,41.64,44.90,41.51,45.46,53.62,69.81,46.50,35.91,42.15,41.64,44.90,41.51,45.46,53.62,69.81
Total Current Liabilities,23.17,22.03,24.85,21.83,37.18,23.93,24.02,24.39,25.29,23.17,22.03,24.85,21.83,37.18,23.93,24.02,24.39
Current Ratio,1.55,1.91,1.68,2.06,1.12,1.90,2.23,2.86,1.84,1.55,1.91,1.68,2.06,1.12,1.90,2.23,2.86
Quick Ratio,0.88,1.14,0.97,1.26,0.72,1.14,1.68,2.25,0.79,0.88,1.14,0.97,1.26,0.72,1.14,1.68,2.25
