Gross Margin %,62.5,65.3,55.7,55.5,51.9,51.5,59.4,57.7,62.1,62.5,65.3,55.7,55.5,51.9,51.5,59.4,57.7
Operating Margin %,32.4,35.7,16.3,23.8,21.4,16.0,31.1,29.6,27.4,32.4,35.7,16.3,23.8,21.4,16.0,31.1,29.6
Earnings Per Share USD,2.39,2.01,0.77,0.92,1.18,0.86,1.40,1.16,2.13,2.39,2.01,0.77,0.92,1.18,0.86,1.40,1.16
Book Value Per Share USD,9.02,8.97,7.55,7.11,7.31,6.37,6.00,6.10,10.36,9.02,8.97,7.55,7.11,7.31,6.37,6.00,6.10
SG&A,14.20,14.46,22.58,14.52,14.09,17.23,14.65,13.62,15.10,14.20,14.46,22.58,14.52,14.09,17.23,14.65,13.62
R&D,15.46,15.07,16.09,15.22,15.01,16.60,13.25,13.97,19.02,15.46,15.07,16.09,15.22,15.01,16.60,13.25,13.97
Return on Assets %,19.27,19.72,8.42,9.95,13.41,10.43,17.96,15.78,14.16,19.27,19.72,8.42,9.95,13.41,10.43,17.96,15.78
Return on Equity %,27.15,25.16,10.82,12.93,17.55,13.83,23.18,19.67,22.66,27.15,25.16,10.82,12.93,17.55,13.83,23.18,19.67
Return on Invested Capital %,24.64,24.02,10.28,12.29,16.64,12.97,22.14,19.02,18.56,24.64,24.02,10.28,12.29,16.64,12.97,22.14,19.02
Cap Ex as a % of Sales,19.93,11.94,12.85,13.83,13.04,16.33,14.98,11.23,20.67,19.93,11.94,12.85,13.83,13.04,16.33,14.98,11.23
Total Current Assets,36.38,50.03,39.85,39.18,42.92,37.79,43.87,49.97,37.18,36.38,50.03,39.85,39.18,42.92,37.79,43.87,49.97
Total Current Liabilities,16.91,14.76,14.30,15.42,15.40,17.60,19.11,16.63,15.29,16.91,14.76,14.30,15.42,15.40,17.60,19.11,16.63
Current Ratio,2.15,3.39,2.79,2.54,2.79,2.15,2.30,3.01,2.43,2.15,3.39,2.79,2.54,2.79,2.15,2.30,3.01
Quick Ratio,1.54,2.65,1.52,1.33,1.79,1.49,1.81,2.52,1.71,1.54,2.65,1.52,1.33,1.79,1.49,1.81,2.52
