Gross Margin %,83.0,82.5,80.7,79.7,80.9,81.8,81.7,80.6,82.0,83.0,82.5,80.7,79.7,80.9,81.8,81.7,80.6
Operating Margin %,26.1,25.0,21.4,21.2,23.9,23.9,25.7,22.5,28.4,26.1,25.0,21.4,21.2,23.9,23.9,25.7,22.5
Earnings Per Share USD,2.00,1.77,1.35,1.41,1.24,1.16,1.02,0.79,2.60,2.00,1.77,1.35,1.41,1.24,1.16,1.02,0.79
Book Value Per Share USD,8.61,8.98,7.92,6.46,6.00,5.09,4.68,4.76,9.29,8.61,8.98,7.92,6.46,6.00,5.09,4.68,4.76
SG&A,38.04,38.32,38.19,37.55,38.66,39.89,39.70,40.01,36.28,38.04,38.32,38.19,37.55,38.66,39.89,39.70,40.01
R&D,16.46,16.58,17.79,19.70,17.68,17.03,14.98,15.05,16.12,16.46,16.58,17.79,19.70,17.68,17.03,14.98,15.05
Return on Assets %,12.30,11.45,9.42,10.69,12.53,15.20,14.10,11.56,16.17,12.30,11.45,9.42,10.69,12.53,15.20,14.10,11.56
Return on Equity %,23.32,21.35,19.32,23.21,23.32,24.29,21.70,16.74,29.55,23.32,21.35,19.32,23.21,23.32,24.29,21.70,16.74
Return on Invested Capital %,14.64,14.12,12.09,13.91,17.25,24.06,21.49,16.54,21.53,14.64,14.12,12.09,13.91,17.25,24.06,21.49,16.54
Cap Ex as a % of Sales,5.92,4.14,4.11,9.96,5.73,3.50,1.87,2.80,4.72,5.92,4.14,4.11,9.96,5.73,3.50,1.87,2.80
Total Current Assets,44.11,44.15,40.77,38.01,45.91,65.60,59.43,56.25,32.51,44.11,44.15,40.77,38.01,45.91,65.60,59.43,56.25
Total Current Liabilities,35.32,23.49,22.46,31.44,27.28,36.68,36.94,31.80,27.01,35.32,23.49,22.46,31.44,27.28,36.68,36.94,31.80
Current Ratio,1.25,1.88,1.82,1.21,1.68,1.79,1.61,1.77,1.20,1.25,1.88,1.82,1.21,1.68,1.79,1.61,1.77
Quick Ratio,0.92,1.74,1.69,0.69,1.28,1.34,1.08,1.30,0.77,0.92,1.74,1.69,0.69,1.28,1.34,1.08,1.30
