Gross Margin %,64.5,67.0,65.1,67.4,67.3,67.3,68.4,69.3,62.1,64.5,67.0,65.1,67.4,67.3,67.3,68.4,69.3
Operating Margin %,13.9,18.8,9.4,19.5,14.4,-43.3,21.6,15.2,7.1,13.9,18.8,9.4,19.5,14.4,-43.3,21.6,15.2
Earnings Per Share USD,0.79,1.15,0.22,0.93,0.62,-1.76,0.59,0.25,0.35,0.79,1.15,0.22,0.93,0.62,-1.76,0.59,0.25
Book Value Per Share USD,13.48,12.58,11.21,11.18,10.26,10.81,12.55,11.15,13.77,13.48,12.58,11.21,11.18,10.26,10.81,12.55,11.15
SG&A,26.53,25.28,22.14,25.97,27.61,28.44,24.92,26.62,28.53,26.53,25.28,22.14,25.97,27.61,28.44,24.92,26.62
R&D,23.08,22.42,22.37,20.47,21.97,20.85,17.22,17.84,25.23,23.08,22.42,22.37,20.47,21.97,20.85,17.22,17.84
Return on Assets %,4.61,7.70,1.58,7.27,5.06,-13.01,4.71,2.88,1.88,4.61,7.70,1.58,7.27,5.06,-13.01,4.71,2.88
Return on Equity %,6.21,9.95,2.00,9.09,6.29,-15.39,5.49,3.59,2.65,6.21,9.95,2.00,9.09,6.29,-15.39,5.49,3.59
Return on Invested Capital %,4.95,9.95,1.94,9.09,5.88,-14.49,5.09,3.06,1.88,4.95,9.95,1.94,9.09,5.88,-14.49,5.09,3.06
Cap Ex as a % of Sales,5.99,4.53,4.62,4.61,5.18,4.43,4.76,4.73,9.48,5.99,4.53,4.62,4.61,5.18,4.43,4.76,4.73
Total Current Assets,44.47,37.96,37.93,39.18,37.11,34.22,22.66,20.20,36.62,44.47,37.96,37.93,39.18,37.11,34.22,22.66,20.20
Total Current Liabilities,14.69,17.38,18.13,14.70,20.04,10.35,7.82,7.18,14.46,14.69,17.38,18.13,14.70,20.04,10.35,7.82,7.18
Current Ratio,3.03,2.18,2.09,2.67,1.85,3.31,2.90,2.81,2.53,3.03,2.18,2.09,2.67,1.85,3.31,2.90,2.81
Quick Ratio,2.82,1.96,1.91,2.48,1.69,3.00,2.71,2.60,2.31,2.82,1.96,1.91,2.48,1.69,3.00,2.71,2.60
